OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Mean SEGLENGTH,Maximum SEGLENGTH,Count of Lines,Area in Square Miles,Mean Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Count of Polygons,Count of Points
522,WA,53,33,53033,11802,1,530330118021,1405,7805.6,0.18,1348,7488.9,505.0812413,998,66,0.18103443,1841.947272,0,70640,535,0
523,WA,53,33,53033,11802,2,530330118022,1446,11123.1,0.13,1378,10600,505.2003574,931,62,0.12795126,329.8953197,0,11442,294,0
524,WA,53,33,53033,11802,3,530330118023,1554,11953.8,0.13,1497,11515.4,555.2821981,1166.494387,47,0.13101301,10749.44698,0,67450,183,1
525,WA,53,33,53033,11901,1,530330119011,1351,4825,0.28,1322,4721.4,630.4864511,1436.525195,59,0.28119376,3117.804586,0,33420,423,0
526,WA,53,33,53033,11901,2,530330119012,1109,6931.3,0.16,1105,6906.3,515.356063,901,46,0.16486924,52.19263058,0,8258,401,0
527,WA,53,33,53033,11901,3,530330119013,1298,6490,0.2,1291,6455,562.0470951,1274,56,0.20354175,2992.13489,0,34408,435,0
528,WA,53,33,53033,11902,1,530330119021,1330,8866.7,0.15,1317,8780,487.4388764,718,52,0.15338419,0,0,0,496,0
529,WA,53,33,53033,11902,2,530330119022,1329,4582.8,0.29,1317,4541.4,688.658965,1470,62,0.28763778,55.05765399,0,7518,544,1
530,WA,53,33,53033,11902,3,530330119023,1239,7288.2,0.17,1235,7264.7,414.9518739,909,78,0.16926742,0,0,0,471,0
531,WA,53,33,53033,12000,1,530330120001,1235,6861.1,0.18,1184,6577.8,557.4306363,1071,69,0.17997632,1283.852489,0,47653,512,0
532,WA,53,33,53033,12000,2,530330120002,1237,6185,0.2,1221,6105,494.1863058,739,78,0.19641462,6677.621065,0,78972,505,0
533,WA,53,33,53033,12000,3,530330120003,1160,6444.4,0.18,1155,6416.7,569.2662423,1174,46,0.17846365,22.903858,0,5631,470,0
534,WA,53,33,53033,12100,1,530330121001,1188,3600,0.33,1180,3575.8,942.665287,3072,50,0.33340101,0,0,0,540,1
535,WA,53,33,53033,12100,2,530330121002,1618,4758.8,0.34,1613,4744.1,616.3059776,1375,83,0.33765635,47.74978086,0,1535,687,1
583,WA,53,33,53033,26500,1,530330265001,1739,4241.5,0.41,1629,3973.2,1538.106255,2668.501334,20,0.41130437,12369.43229,0,54350,37,1
