OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Development Site Land Area (sqft),Minimum Development Site Land Area (sqft),Maximum Development Site Land Area (sqft),Sum Existing Housing Units,Minimum Existing Housing Units,Maximum Existing Housing Units,Sum Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Sum Potential Housing Units (all residential development),Minimum Potential Housing Units (all residential development),Maximum Potential Housing Units (all residential development),Sum Potential Commercial Floor Area (all commercial development),Minimum Potential Commercial Floor Area (all commercial development),Maximum Potential Commercial Floor Area (all commercial development),Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Max Dwellings Per Sq Mi,Mean Max Comm FAR ,Current Comm Percent,Mean Max Dwelling Ratio,Current Dwellings Per Sq Mi,Count of Points
88,WA,53,33,53033,2500,1,530330025001,1610,6708.3,0.24,1589,6620.8,4890147,663,630779,637,0,4,122349,0,71374,877,0,109,44552,0,21941,0.17542059,634,0.24015551,3654.166667,0.009110565,0.025019493,1.38,0.726339795,0
89,WA,53,33,53033,2500,2,530330025002,1617,11550,0.14,1566,11185.7,2791121,399,196078,646,0,32,86919,0,25180,1241,0,159,502210,0,99645,0.10012371,474,0.13990267,8864.285714,0.179931289,0.031141251,1.92,0.520547945,2
90,WA,53,33,53033,2600,1,530330026001,1150,12777.8,0.09,1141,12677.8,1680285,796,29374,468,0,50,79320,0,14526,1001,1,88,642600,0,88020,0.06027565,394,0.09473581,11122.22222,0.382435123,0.047206278,2.14,0.467532468,1
91,WA,53,33,53033,2600,2,530330026002,1585,9906.3,0.16,1465,9156.3,2805474,1244,427300,535,0,17,60825,0,38000,1136,0,255,415016,0,254544,0.11391435,529,0.15703944,7100,0.147930795,0.021680828,2.12,0.470950704,0
92,WA,53,33,53033,2600,3,530330026003,1996,15353.8,0.13,1710,13153.8,2491483,1531,415258,1149,0,235,474125,0,293761,3154,0,287,2142468,0,287265,0.08937526,424,0.1261892,24261.53846,0.859916764,0.190298308,2.74,0.364299302,1
93,WA,53,33,53033,2600,4,530330026004,1046,10460,0.1,1039,10390,1778486,419,18993,412,0,8,60082,0,6886,1030,0,57,602193,0,56979,0.0637984,375,0.10264135,10300,0.338598673,0.033782667,2.50,0.4,1
94,WA,53,33,53033,2700,1,530330027001,1575,11250,0.14,1571,11221.4,2659429,1903,200026,637,0,16,94505,-465,45680,897,0,35,324462,0,33507,0.09539962,532,0.1398527,6407.142857,0.122004385,0.035535824,1.41,0.710144928,0
95,WA,53,33,53033,2700,2,530330027002,1546,8136.8,0.19,1489,7836.8,2726112,33,34668,574,0,6,20446,0,14146,567,0,8,0,0,0,0.09779193,549,0.19072793,2984.210526,0,0.007500059,0.99,1.012345679,0
96,WA,53,33,53033,2700,3,530330027003,1185,9875,0.12,1163,9691.7,2403186,1534,380357,513,0,20,228432,0,188598,698,0,70,122970,0,65688,0.08620779,383,0.12181855,5816.666667,0.051169572,0.095053816,1.36,0.73495702,0
97,WA,53,33,53033,2700,4,530330027004,1659,10368.8,0.16,1653,10331.3,2911224,536,172042,742,0,70,246442,0,58186,1836,0,117,1047245,0,117067,0.10443246,513,0.1594931,11475,0.359726699,0.084652366,2.47,0.404139434,0
98,WA,53,33,53033,2800,1,530330028001,1255,12550,0.1,1255,12550,1926232,1331,20003,564,0,26,73939,0,13550,926,0,41,498297,0,39924,0.06909825,462,0.10193981,9260,0.258690023,0.038385304,1.64,0.609071274,2
99,WA,53,33,53033,2800,2,530330028002,1292,12920,0.1,1283,12830,1884816,1840,51387,605,0,24,87725,0,41600,964,0,89,455079,0,84690,0.06761224,446,0.10016679,9640,0.241444788,0.046543005,1.59,0.627593361,2
100,WA,53,33,53033,2800,3,530330028003,1254,15675,0.08,1230,15375,1408791,1000,23665,625,0,37,43374,-635,7822,797,0,37,316920,0,37179,0.05053696,335,0.07760278,9962.5,0.224958848,0.030788101,1.28,0.784190715,0
101,WA,53,33,53033,2800,4,530330028004,1195,11950,0.1,1188,11880,1958732,1533,25846,517,0,20,109999,0,18678,1469,0,115,990983,0,114509,0.07026438,426,0.10187781,14690,0.505930878,0.05615827,2.84,0.351940095,3
102,WA,53,33,53033,2900,1,530330029001,1709,12207.1,0.14,1701,12150,2594523,110,122325,865,0,105,224865,-185,60940,1555,0,93,919935,0,92976,0.09307085,534,0.13925213,11107.14286,0.354568065,0.08666911,1.80,0.556270096,2
103,WA,53,33,53033,2900,2,530330029002,1549,11915.4,0.13,1514,11646.2,2434294,849,24684,685,0,36,109915,0,20678,1039,0,44,504738,0,44481,0.08732356,565,0.12763193,7992.307692,0.207344717,0.045152722,1.52,0.659287777,1
104,WA,53,33,53033,2900,3,530330029003,1496,13600,0.11,1475,13409.1,2218350,1373,10549,635,0,14,11302,0,5518,692,1,18,52186,0,17664,0.0795772,533,0.11386433,6290.909091,0.023524692,0.005094778,1.09,0.917630058,2
105,WA,53,33,53033,3000,1,530330030001,1768,11050,0.16,1750,10937.5,2993958,117,39072,717,0,8,4775,0,2390,899,0,18,133991,0,17910,0.10740024,657,0.15861977,5618.75,0.044753801,0.001594879,1.25,0.797552836,1
106,WA,53,33,53033,3000,2,530330030002,1594,11385.7,0.14,1536,10971.4,2728406,1605,152007,894,0,78,122572,0,42738,2915,1,648,1515983,0,648030,0.09787428,507,0.1416595,20821.42857,0.555629551,0.044924399,3.26,0.306689537,1
107,WA,53,33,53033,3000,3,530330030003,1815,12100,0.15,1776,11840,2938942.027,91,115835,844.5217998,0,93,132748,0,66000,1440.5218,0,107,718797,0,107373,0.1054256,579,0.15090199,9603.478665,0.244576788,0.045168635,1.71,0.586261034,0
108,WA,53,33,53033,3000,4,530330030004,1444,11107.7,0.13,1431,11007.7,2345189,1362,17629,603,0,16,39449,-833,6795,1192,0,53,625905,0,52887,0.08412803,540,0.12539729,9169.230769,0.266888937,0.016821246,1.98,0.505872483,1
109,WA,53,33,53033,3100,1,530330031001,1246,10383.3,0.12,1216,10133.3,2239520,3263,21326,492,0,10,95000,0,22326,942,1,64,446736,0,63978,0.08033714,478,0.11807073,7850,0.19947846,0.042419804,1.91,0.522292994,1
110,WA,53,33,53033,3100,2,530330031002,1182,9850,0.12,1181,9841.7,2258218,329,124072,523,0,10,131277,-620,126867,556,0,24,42762,0,19010,0.08100728,481,0.11985581,4633.333333,0.01893617,0.058133006,1.06,0.940647482,0
111,WA,53,33,53033,3100,3,530330031003,1285,11681.8,0.11,1277,11609.1,2254486,606,291081,565,0,54,30587,0,25667,661,0,58,0,0,0,0.08087412,422,0.11413731,6009.090909,0,0.013567172,1.17,0.854765507,1
112,WA,53,33,53033,3100,4,530330031004,1523,10153.3,0.15,1519,10126.7,2775201,874,15957,579,0,2,3029,0,3029,572,0,3,0,0,0,0.09955329,569,0.1485328,3813.333333,0,0.001091452,0.99,1.012237762,0
113,WA,53,33,53033,3100,5,530330031005,1370,3805.6,0.36,1352,3755.6,6936337.732,18.78011202,1264706.568,593.0071831,0,10,8019.890927,0,4379.865621,782.8561808,0,67.76348423,21031.30705,0,11126,0.29192867,542,0.35627393,2174.600502,0.003032048,0.001156214,1.32,0.757491858,3
114,WA,53,33,53033,3201,1,530330032011,1384,9226.7,0.15,1377,9180,2948909.272,0,399358.0421,1059.856436,0,192,385257.9627,0,121397,2213.561954,0,396.5300889,2085193.155,0,436143.7017,0.1172012,247,0.15375888,14757.0797,0.707106582,0.130644224,2.09,0.478801343,1
115,WA,53,33,53033,3201,2,530330032012,1863,7165.4,0.26,1857,7142.3,4141242.58,0,361245,647.3610355,0,129.7500265,131862.1072,0,39785,1154.55321,0,272.8077481,654045.9041,0,273223.6135,0.19576283,461,0.2569853,4440.589268,0.1579347,0.031841194,1.78,0.560702642,0
116,WA,53,33,53033,3201,3,530330032013,1495,37375,0.04,1490,37250,692747,2755,70414,1023,0,304,85849,-250,21770,1511,0,329,700929,0,329168,0.02485026,93,0.03838871,37775,1.01181095,0.123925474,1.48,0.677035076,0
117,WA,53,33,53033,3202,1,530330032021,1679,13991.7,0.12,1652,13766.7,2236273,1402,11381,773,0,17,9269,0,4600,1009,0,53,198548,0,53206,0.08022107,501,0.11802702,8408.333333,0.088785224,0.004144843,1.31,0.766105055,0
118,WA,53,33,53033,3202,2,530330032022,1809,16445.5,0.11,1741,15827.3,2000402,1599,151229,929,0,42,83706,0,55100,1518,1,114,205530,0,29973,0.07175858,359,0.10588204,13800,0.102744348,0.041844589,1.63,0.61198946,2
119,WA,53,33,53033,3202,3,530330032023,1408,9386.7,0.15,1388,9253.3,2799440,1486,67463,622,0,23,69896,0,54287,747,0,36,231430,0,36048,0.10042223,512,0.14518572,4980,0.082670105,0.024967851,1.20,0.832663989,1
120,WA,53,33,53033,3301,1,530330033011,1325,14722.2,0.09,1305,14500,1670051,252,189280,659,0,104,178196,0,129916,1104,0,77,502075,0,76764,0.05990849,297,0.08708117,12266.66667,0.300634532,0.106700933,1.68,0.59692029,0
121,WA,53,33,53033,3301,2,530330033012,1656,20700,0.08,1608,20100,1468971,1305,11789,926,0,33,30114,0,4012,1474,1,35,382686,0,35367,0.05269538,322,0.08022418,18425,0.260512971,0.020500064,1.59,0.628222524,1
122,WA,53,33,53033,3301,3,530330033013,1467,16300,0.09,1438,15977.8,1746673,103,122885,727,0,99,88114,0,35736,954,0,99,254014,0,98703,0.06265725,340,0.09107893,10600,0.145427335,0.050446764,1.31,0.762054507,2
123,WA,53,33,53033,3302,1,530330033021,1300,13000,0.1,1273,12730,2000602,107,22230,527,0,8,34165,0,20058,568,0,28,61170,0,27910,0.07176609,451,0.10342,5680,0.030575797,0.01707736,1.08,0.927816901,0
124,WA,53,33,53033,3302,2,530330033022,1072,17866.7,0.06,1052,17533.3,1179322,1587,30088,575,0,32,6809,0,3868,841,1,90,150450,0,90261,0.04230482,240,0.06469533,14016.66667,0.127573301,0.005773656,1.46,0.683709869,0
125,WA,53,33,53033,3302,3,530330033023,1173,16757.1,0.07,1141,16300,1489780,518,557824,742,0,81,282364,-2512,241955,1900,1,637,685683,0,235620,0.05344191,192,0.07400083,27142.85714,0.46025789,0.189534025,2.56,0.390526316,0
126,WA,53,33,53033,3400,1,530330034001,1204,12040,0.1,1196,11960,1976575,1508,78494,551,0,9,51316,0,22420,748,0,175,302228,0,168871,0.07090406,414,0.10160888,7480,0.152904899,0.025962081,1.36,0.736631016,2
127,WA,53,33,53033,3400,2,530330034002,1275,12750,0.1,1257,12570,1960201,2018,10800,533,0,16,43803,0,6300,704,1,24,224018,0,24000,0.07031688,464,0.0980601,7040,0.114283178,0.022346178,1.32,0.757102273,1
128,WA,53,33,53033,3400,3,530330034003,1124,11240,0.1,1107,11070,1960728,540,170388,493,0,25,86467,0,79292,503,0,33,34397,0,12031,0.07000013,342,0.10425092,5030,0.017542974,0.044099437,1.02,0.980119284,0
129,WA,53,33,53033,3500,1,530330035001,1614,12415.4,0.13,1567,12053.8,2442666,396,110093,781,0,54,92438,-340,29696,1020,0,70,440928,0,69789,0.08762386,508,0.1304986,7846.153846,0.180510966,0.037843078,1.31,0.765686275,1
130,WA,53,33,53033,3500,2,530330035002,1510,11615.4,0.13,1489,11453.8,2231468.292,192,41386.29225,680,0,34,33465,-306,7380,873.3125672,0,45,320537,0,44730,0.08004768,476,0.13358365,6717.788979,0.143643986,0.014996852,1.28,0.778644469,0
131,WA,53,33,53033,3500,3,530330035003,1170,5087,0.23,1154,5017.4,5312745.893,400,3958779.893,614,0,128,118480.3049,0,78179.30494,1333.968335,0,669.9683347,179988,0,59979,0.19057964,283,0.23195847,5799.862325,0.033878526,0.022301143,2.17,0.460280791,1
132,WA,53,33,53033,3601,1,530330036011,1325,14722.2,0.09,1265,14055.6,1272069.277,365,19050,766,0,139,85355,-334,19630,1756,0,101,1362114,0,100965,0.04563187,282,0.09488888,19511.11111,1.070786021,0.067099333,2.29,0.436218679,4
133,WA,53,33,53033,3601,2,530330036012,1414,11783.3,0.12,1398,11650,2254689,114,145468,556,0,16,76584,0,37677,675,0,28,68543,0,28406,0.0808804,483,0.12382424,5625,0.030400202,0.033966547,1.21,0.823703704,0
134,WA,53,33,53033,3601,3,530330036013,1189,29725,0.04,1175,29375,741690,1702,67942,999,0,218,120536,0,27622,1864,1,318,836291,0,317629,0.0266064,108,0.04156146,46600,1.127547897,0.162515337,1.87,0.535944206,0
135,WA,53,33,53033,3602,1,530330036021,2135,30500,0.07,1818,25971.4,929779,632,123041,1620,0,289,89692,-900,46485,3022,0,582,1728107,0,221138,0.03335342,125,0.06575924,43171.42857,1.858621242,0.096465934,1.87,0.536068829,0
136,WA,53,33,53033,3602,2,530330036022,1418,28360,0.05,1396,27920,877136,1625,76820,868,0,297,193306,0,49409,2033,2,359,1141885,0,359138,0.03146514,145,0.0520061,40660,1.301833467,0.220383156,2.34,0.426955239,3
137,WA,53,33,53033,3602,3,530330036023,1376,17200,0.08,1360,17000,796803,159,140088,900,0,130,236571,-4639,88304,1844,0,269,787551,0,141414,0.02858311,102,0.0839083,23050,0.988388598,0.296900238,2.05,0.488069414,0
138,WA,53,33,53033,3800,1,530330038001,1442,11092.3,0.13,1424,10953.8,2774106,896,614772,635,0,98,340707,0,205000,1027,1,118,330748,0,76385,0.09951328,368,0.1335247,7900,0.119226879,0.122816864,1.62,0.618305745,1
139,WA,53,33,53033,3800,2,530330038002,1053,9572.7,0.11,1045,9500,2141924,1824,22487,407,0,20,6083,0,3784,464,0,33,32170,0,32170,0.07683572,369,0.1076327,4218.181818,0.015019207,0.00283997,1.14,0.877155172,0
140,WA,53,33,53033,3900,1,530330039001,1865,8477.3,0.22,1851,8413.6,4621663,2033,397919,754,0,28,123566,0,24035,1374,0,208,453294,0,208422,0.16579009,627,0.21970483,6245.454545,0.09808028,0.026736264,1.82,0.548762737,0
141,WA,53,33,53033,3900,2,530330039002,1199,7493.8,0.16,1190,7437.5,3253954,3830,397904,435,0,2,61220,0,47779,529,0,78,0,0,0,0.11672644,438,0.15633572,3306.25,0,0.018814034,1.22,0.822306238,0
142,WA,53,33,53033,4000,1,530330040001,2414,2807,0.86,2274,2644.2,20849133.88,3.76899634,13010583.02,1188.074014,0,319.8231375,1059087.086,0,859112.5837,4352.38692,0,1775.936335,242403,0,85788,0.79174949,295,0.86377433,5060.915023,0.011626526,0.050797654,3.66,0.272970679,2
143,WA,53,33,53033,4000,2,530330040002,1038,7984.6,0.13,1034,7953.8,2564467,5056,36158,360,0,2,0,0,0,378,1,7,0,0,0,0.09199325,357,0.1301151,2907.692308,0,0,1.05,0.952380952,0
144,WA,53,33,53033,4101,1,530330041011,1170,6157.9,0.19,1163,6121.1,4054517.569,254.160353,702974.2068,395.7019037,0,2,113255,0,100552,613.7316975,0,102.3398518,0,0,0,0.15525759,421,0.19319022,3230.166829,0,0.02793304,1.55,0.64474738,0
145,WA,53,33,53033,4101,2,530330041012,1371,5712.5,0.24,1362,5675,4445758.749,0,37513.27699,490.6199921,0,2,0,0,0,469.625456,0,4,0,0,0,0.17432803,511,0.24081801,1956.772733,0,0,0.96,1.044704851,0
146,WA,53,33,53033,4101,3,530330041013,1395,7342.1,0.19,1389,7310.5,3762076.811,2060,746409,433,0,42,156304,0,50804,1731.775459,0,733.7754585,322848.0949,0,113950,0.13604233,367,0.18502835,9114.607676,0.085816455,0.041547264,4.00,0.250032415,1
147,WA,53,33,53033,4102,1,530330041021,1363,5926.1,0.23,1360,5913,4932434.281,668.0283427,834053.0187,655.5224784,0,397.506357,64200.65059,0,35206.54483,1655.724579,0,1163.627631,32.08372858,0,32.08372858,0.19716759,253,0.22610289,7198.802516,6.50464E-06,0.013016017,2.53,0.395912754,0
148,WA,53,33,53033,4102,2,530330041022,1501,7147.6,0.21,1414,6733.3,4410427,2974,1258373,578,0,22,1141192,0,1013587,1598,1,623,274826,0,246276,0.15821151,444,0.20511078,7609.52381,0.062312787,0.258748643,2.76,0.361702128,2
149,WA,53,33,53033,4102,3,530330041023,1456,6618.2,0.22,1424,6472.7,4616461.907,10.54213997,181853.493,602.5561824,0,37,13496.45517,0,4129,949.1852421,0,98,406185.9163,0,97785,0.16801223,449,0.22127526,4314.478373,0.087986411,0.00292355,1.58,0.634814108,0
150,WA,53,33,53033,4201,1,530330042011,1334,6352.4,0.21,1326,6314.3,4374305.861,424,414324,562,0,70,252978,0,182686,1853.07197,0,619,0,0,0,0.15691643,469,0.20573815,8824.152238,0,0.057832719,3.30,0.30328018,0
151,WA,53,33,53033,4201,2,530330042012,1333,10253.8,0.13,1323,10176.9,2441641.307,900,308437,559,0,61,41328,0,24377,1506.511168,0,194,293819.4448,0,192305,0.08758724,244,0.12620039,11588.54745,0.120336859,0.016926319,2.70,0.371055995,0
152,WA,53,33,53033,4201,3,530330042013,1316,8773.3,0.15,1310,8733.3,3027765,1362,76324,571,0,73,28578,0,16177,637,0,64,162943,0,64327,0.10861286,469,0.14840901,4246.666667,0.053816264,0.009438645,1.12,0.896389325,0
153,WA,53,33,53033,4202,1,530330042021,1467,7335,0.2,1457,7285,4104183.052,1890,1602701,749,0,98,177174,0,38378,2055.874009,0,319,930309.9551,0,119753.4,0.14722473,442,0.19833455,10279.37004,0.226673602,0.043169127,2.74,0.364321936,3
154,WA,53,33,53033,4202,2,530330042022,1431,11007.7,0.13,1428,10984.6,2480698,1806,10835,528,0,8,16437,0,6400,613,0,26,105193,0,26004,0.08898816,516,0.13042809,4715.384615,0.042404597,0.006625958,1.16,0.861337684,1
155,WA,53,33,53033,4202,3,530330042023,1590,11357.1,0.14,1556,11114.3,2745707,1539,144111,591,0,15,168033,0,75072,854,0,42,257453,0,42129,0.09849439,542,0.14266558,6100,0.093765649,0.061198445,1.45,0.692037471,3
156,WA,53,33,53033,4301,1,530330043011,1554,11953.8,0.13,1324,10184.6,3083951.78,307,1025307,745,0,243,1004815,0,560670,10382.54285,0,4727,10231009.6,0,4727410,0.11062713,157,0.13295832,79865.71425,3.31749986,0.325820594,13.94,0.071755061,2
157,WA,53,33,53033,4301,2,530330043012,1317,13170,0.1,1300,13000,2014993,2249,22971,506,0,12,20057,0,10290,698,1,69,246657,0,68913,0.07228211,458,0.10095772,6980,0.122410847,0.009953881,1.38,0.724928367,0
158,WA,53,33,53033,4301,3,530330043013,1331,9507.1,0.14,1319,9421.4,3069900.016,756,1344969.016,501,0,91,19242,0,6532,580.6889689,0,85.68896893,175948.8902,0,47055,0.11012469,373,0.14414412,4147.77835,0.057314209,0.006267957,1.16,0.86276824,2
159,WA,53,33,53033,4302,1,530330043021,1099,18316.7,0.06,1086,18100,1018962.758,120.9129163,164309,1203.154869,0,265,361789,0,194453,2840.709766,0,750,2170413,0,749683,0.03655235,76,0.06056494,47345.16277,2.13002191,0.355056156,2.36,0.42354023,0
160,WA,53,33,53033,4302,2,530330043022,1429,47633.3,0.03,1371,45700,541904.2422,3868,49062.82006,379.845131,0,64,8780,-999,9779,741.2902338,2,50,0,0,0,0.01943915,48,0.02783345,24709.67446,0,0.016202125,1.95,0.512410813,0
161,WA,53,33,53033,4302,3,530330043023,1546,38650,0.04,1463,36575,750241,2777,108743,503,0,150,0,0,0,792,1,174,0,0,0,0.02691344,124,0.039475,19800,0,0,1.57,0.63510101,0
162,WA,53,33,53033,4401,1,530330044011,1508,11600,0.13,1426,10969.2,2561373.984,29,789678.9842,452,0,50,0,0,0,543.3110311,0,50.31103107,1.10980216,0,1.10980216,0.09188179,274,0.12676639,4179.315624,4.33284E-07,0,1.20,0.831935989,1
163,WA,53,33,53033,4401,2,530330044012,1215,12150,0.1,1207,12070,1706211,2267,86424,509,0,112,257039,0,128315,1904,0,458,1515072,0,458047,0.06120556,349,0.09784249,19040,0.887974582,0.150649011,3.74,0.267331933,1
164,WA,53,33,53033,4401,3,530330044013,1001,25025,0.04,1177,29425,791585,3237,34557,351,0,31,24948,0,24948,381,1,25,0,0,0,0.02839547,153,0.0436859,9525,0,0.031516514,1.09,0.921259843,0
165,WA,53,33,53033,4402,1,530330044021,1266,31650,0.04,1263,31575,761745,1977,87629,667,0,111,168772,-1030,55853,2227,2,381,1186753,0,380936,0.0273258,136,0.04180487,55675,1.557939993,0.221559708,3.34,0.299506062,0
166,WA,53,33,53033,4402,2,530330044022,1235,24700,0.05,1232,24640,867856,1950,14548,560,0,43,76565,0,17258,780,0,28,360979,0,22385,0.03113206,202,0.04982567,15600,0.415943428,0.088223161,1.39,0.717948718,0
167,WA,53,33,53033,4402,3,530330044023,1070,53500,0.02,1069,53450,400076,1192,15810,659,0,100,52884,-1098,11860,801,1,54,473218,0,53780,0.01435182,73,0.02226266,40050,1.182820264,0.132184885,1.22,0.822721598,0
168,WA,53,33,53033,4500,1,530330045001,1233,11209.1,0.11,1206,10963.6,1740519.723,127,117292,421,0,42,150559,0,51515,951,0,114,472637,0,82003,0.06243649,339,0.10649244,8645.454545,0.27154935,0.086502323,2.26,0.442691903,3
169,WA,53,33,53033,4500,2,530330045002,1787,11913.3,0.15,1766,11773.3,2519253,2210,93918,631,0,6,55048,0,51360,631,0,18,30091,0,9403,0.0903708,592,0.15259552,4206.666667,0.011944414,0.021850922,1.00,1,1
170,WA,53,33,53033,4600,1,530330046001,1259,1554.3,0.81,1246,1538.3,6819870.708,26,4537239.708,492,0,24,6825,0,2937,1282.687433,0,801.6874328,0,0,0,0.24466191,415,0.81204048,1583.564732,0,0.001000752,2.61,0.383569674,2
171,WA,53,33,53033,4600,2,530330046002,1174,11740,0.1,1166,11660,1859350,375,10569,470,0,16,18176,0,5021,537,0,25,130561,0,25039,0.06669914,424,0.10210909,5370,0.070218625,0.009775459,1.14,0.875232775,0
172,WA,53,33,53033,4600,3,530330046003,1154,14425,0.08,1151,14387.5,1592993,2100,15676,507,0,32,38733,0,7637,556,1,34,194856,0,33761,0.05714421,370,0.08412857,6950,0.122320688,0.024314608,1.10,0.911870504,1
173,WA,53,33,53033,4701,1,530330047011,1349,33725,0.04,1336,33400,714551,1221,39847,865,0,132,64062,-438,20968,1956,1,185,716030,0,139853,0.02563275,107,0.03800807,48900,1.002069831,0.089653503,2.26,0.442229039,2
174,WA,53,33,53033,4701,2,530330047012,1222,9400,0.13,1214,9338.5,2397712.058,266,414158.9588,726,0,267,1390435.523,-277,87333,3449.645901,0,297,4549764.722,0,297115,0.09382121,154,0.13297016,26535.7377,1.897544247,0.579900959,4.75,0.210456383,14
175,WA,53,33,53033,4701,3,530330047013,1095,21900,0.05,1089,21780,817191,1142,137547,776,0,302,587872,0,333490,3133,0,636,2659156,0,341135,0.0293145,55,0.0494595,62660,3.254020174,0.719381393,4.04,0.247685924,5
176,WA,53,33,53033,4702,1,530330047021,1099,21980,0.05,1070,21400,962141,1598,180260,647,0,52,108002,-710,76359,2138,1,576,684058,0,461092,0.03451413,147,0.05330517,42760,0.710974795,0.112251739,3.30,0.30261927,2
177,WA,53,33,53033,4702,2,530330047022,1589,52966.7,0.03,1494,49800,447015,7784,84095,1163,0,289,310255,-2308,195243,2148,41,393,2149435,41255,393144,0.0160354,12,0.02622321,71600,4.808418062,0.694059483,1.85,0.541433892,0
178,WA,53,33,53033,4702,3,530330047023,1358,67900,0.02,1353,67650,432485,2496,29982,1056,0,178,90845,0,12228,1897,5,151,1423084,0,150965,0.01551406,60,0.02333536,94850,3.290481751,0.210053528,1.80,0.556668424,3
179,WA,53,33,53033,4703,1,530330047031,1272,12720,0.1,1205,12050,1798772,500,31420,661,0,22,27100,0,11364,2071,0,94,772336,0,94260,0.06368819,360,0.09843379,20710,0.42936848,0.015065834,3.13,0.319169483,0
180,WA,53,33,53033,4703,2,530330047032,1367,8543.8,0.16,1285,8031.3,2719355,1500,167342,930,0,260,1575099,0,117118,3337,0,505,4743118,0,504559,0.09754892,217,0.15728313,20856.25,1.74420699,0.579217866,3.59,0.278693437,4
181,WA,53,33,53033,4703,3,530330047033,1178,5890,0.2,1145,5725,3843296.954,14,544788.4281,715,0,166,1320180.684,0,162559.3602,1232,0,158,2693064.118,0,534008.9365,0.13931854,296,0.20311858,6160,0.700717158,0.343502128,1.72,0.580357143,6
182,WA,53,33,53033,4800,1,530330048001,1190,10818.2,0.11,1154,10490.9,1862439,135,12025,486,0,6,1600,0,1600,460,0,9,23329,0,8995,0.06705888,414,0.10689998,4181.818182,0.012526048,0.000859089,0.95,1.056521739,0
183,WA,53,33,53033,4800,2,530330048002,1331,12100,0.11,1328,12072.7,2090133,1606,24473,648,0,29,3144,0,3144,551,0,19,0,0,0,0.07497748,407,0.11390383,5009.090909,0,0.00150421,0.85,1.176043557,1
184,WA,53,33,53033,4800,3,530330048003,1410,8812.5,0.16,1387,8668.8,2739189.643,371,102372,795,0,64,606571.7979,0,43003,1270,0,45,1124907.243,0,47253,0.09837595,412,0.16200549,7937.5,0.410671545,0.22144206,1.60,0.625984252,2
185,WA,53,33,53033,4800,4,530330048004,1266,11509.1,0.11,1244,11309.1,2056254,1183,95381,518,0,5,84737,0,27744,488,0,34,169275,0,38152,0.07324897,421,0.11071366,4436.363636,0.082322028,0.041209403,0.94,1.06147541,1
186,WA,53,33,53033,4901,1,530330049011,1333,16662.5,0.08,1266,15825,1299009.107,187.1074839,60026,764,0,66,89935.69506,-950,44384,1317.031665,0,56,250809,0,41976,0.04659847,252,0.07575879,16462.89582,0.193077168,0.069234076,1.72,0.580092355,0
187,WA,53,33,53033,4901,2,530330049012,1489,24816.7,0.06,1475,24583.3,1144735,2071,14988,830,0,25,5863,-769,2304,853,1,14,0,0,0,0.04106392,238,0.06167584,14216.66667,0,0.005121709,1.03,0.973036342,2
188,WA,53,33,53033,4901,3,530330049013,1192,23840,0.05,1105,22100,907117,1524,22522,780,0,93,101288,0,9127,1488,1,64,764610,0,63195,0.03254023,177,0.05452183,29760,0.842901191,0.111659246,1.91,0.524193548,1
189,WA,53,33,53033,4902,1,530330049021,1783,14858.3,0.12,1729,14408.3,2035763.91,65,168800,965,0,35,116301,0,46242,1637,0,127,475874,0,60868,0.07302719,401,0.12161315,13641.66667,0.233756968,0.057128923,1.70,0.589492975,1
190,WA,53,33,53033,4902,2,530330049022,1431,13009.1,0.11,1414,12854.5,2077753.39,139,595298.4502,981,0,130,1560139.982,0,715179.9824,3152,0,175,3842832.046,0,1610789.096,0.0746546,190,0.10913831,28654.54545,1.849513068,0.750878324,3.21,0.311230964,13
191,WA,53,33,53033,5000,1,530330050001,1834,12226.7,0.15,1754,11693.3,2472084,599,291486,823,0,48,477207,0,232370,2911,0,271,1451274,0,79563,0.08867905,458,0.150752,19406.66667,0.587065003,0.193038343,3.54,0.282720715,5
192,WA,53,33,53033,5000,2,530330050002,1092,13650,0.08,1084,13550,1500128,1429,195577,665,0,118,189665,-2500,105994,1405,0,93,664341,0,91116,0.05381249,262,0.08183813,17562.5,0.44285621,0.126432544,2.11,0.473309609,0
193,WA,53,33,53033,5000,3,530330050003,1723,28716.7,0.06,1685,28083.3,919661,749,59886,1053,0,150,105744,0,31774,1642,0,180,828141,0,179658,0.03299026,150,0.05984651,27366.66667,0.90048507,0.114981499,1.56,0.641291108,1
194,WA,53,33,53033,5100,1,530330051001,1492,12433.3,0.12,1470,12250,2336557,1699,316720,628,0,43,323543,-472,87262,2415,0,226,1465079,0,225609,0.08381705,403,0.12376715,20125,0.627024721,0.13846998,3.85,0.260041408,2
195,WA,53,33,53033,5100,2,530330051002,1377,11475,0.12,1375,11458.3,2257413,319,19339,522,0,9,31726,0,14619,602,0,16,32880,0,16462,0.08097787,478,0.12310706,5016.666667,0.014565345,0.014054141,1.15,0.867109635,0
