OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Development Site Land Area (sqft),Minimum Development Site Land Area (sqft),Maximum Development Site Land Area (sqft),Sum Existing Housing Units,Minimum Existing Housing Units,Maximum Existing Housing Units,Sum Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Sum Potential Housing Units (all residential development),Minimum Potential Housing Units (all residential development),Maximum Potential Housing Units (all residential development),Sum Potential Commercial Floor Area (all commercial development),Minimum Potential Commercial Floor Area (all commercial development),Maximum Potential Commercial Floor Area (all commercial development),Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Max Dwellings Per Sq Mi,Mean Max Comm FAR ,Current Comm Percent,Mean Max Dwelling Ratio,Current Dwellings Per Sq Mi,Count of Points
22,WA,53,33,53033,404,2,530330004042,1184,9866.7,0.12,1135,9458.3,2780578.101,4264,574512,637.33019,0,178,141245.7855,0,48700,2798.240043,1,731,2154433,0,731100,0.09996749,203,0.12207794,23318.66702,0.774814777,0.050797273,4.39,0.227761086,2
23,WA,53,33,53033,404,3,530330004043,1393,27860,0.05,1367,27340,1127422,20021,386032,747,0,251,296012,0,127737,5235,94,1770,5236492,93598,1770493,0.04044363,16,0.04954385,104700,4.644660118,0.262556523,7.01,0.14269341,1
24,WA,53,33,53033,500,1,530330005001,1748,2241,0.78,1737,2226.9,18411929.01,0,2301594.505,707.1505295,0,2,1979.79672,0,1979.79672,1118.033183,0,69.5524825,0,0,0,0.69330193,770,0.78349064,1433.375875,0,0.000107528,1.58,0.632495118,1
25,WA,53,33,53033,500,2,530330005002,1676,5078.8,0.33,1663,5039.4,7125807.649,417.2265489,61609,675.8321828,0,3,5.09831659,0,5.09831659,665.0513913,0,5,0,0,0,0.2556218,688,0.33438925,2015.307246,0,7.15472E-07,0.98,1.016210464,0
26,WA,53,33,53033,601,1,530330006011,1483,14830,0.1,1459,14590,2087483,1598,68223,656,0,81,51535,0,14162,966,0,101,234366,0,46839,0.07488353,228,0.09590013,9660,0.112272052,0.024687626,1.47,0.679089027,0
27,WA,53,33,53033,601,2,530330006012,1249,4163.3,0.3,1243,4143.3,5556742,113,900427,468,0,2,65852,0,36975,688,0,125,0,0,0,0.20016766,498,0.29718529,2293.333333,0,0.011850829,1.47,0.680232558,1
28,WA,53,33,53033,601,3,530330006013,1423,8893.8,0.16,1372,8575,3480180,4036,138092,708,0,121,224909,0,86558,1001,0,111,319365,0,82332,0.1251094,374,0.15956236,6256.25,0.091766805,0.06462568,1.41,0.707292707,0
29,WA,53,33,53033,602,1,530330006021,1263,3946.9,0.32,1255,3921.9,7366834.018,2020,1222730,495.9906813,0,24,1158551,0,207386,9911.990681,0.99068126,1995,9258123,0,1994760,0.26426792,458,0.32070321,30974.97088,1.256730229,0.157265794,19.98,0.050039462,0
30,WA,53,33,53033,602,2,530330006022,1456,4412.1,0.33,1441,4366.7,7224253.59,4029,521298,420.9878956,0,40.98789561,485982.9506,0,104799.9506,11981.19938,0,2148.237845,11115352.12,0,2148611.117,0.26738623,424,0.32878994,36306.66478,1.538615994,0.067271026,28.46,0.035137375,1
31,WA,53,33,53033,602,3,530330006023,1378,4921.4,0.28,1310,4678.6,6956575.41,3508,3086332,694.0121044,0,102,851485.0494,0,484836,11403.80062,0,5939,5022814.883,0,2719846,0.24954984,144,0.28132715,40727.85937,0.722024069,0.122400032,16.43,0.060857965,0
32,WA,53,33,53033,700,1,530330007001,1255,8366.7,0.15,1244,8293.3,3110573,3001,142765,596,0,39,111001,0,47308,1406,1,428,918018,0,428295,0.11158406,353,0.14905167,9373.333333,0.295128261,0.035685065,2.36,0.423897582,1
33,WA,53,33,53033,700,2,530330007002,1367,6509.5,0.21,1353,6442.9,4300357.108,577.7170481,75205,517.5837927,0,15,98091.41345,0,21320,1596.551579,0,226,1053505.618,0,225615,0.15426471,469,0.21118953,7602.626569,0.244980961,0.022810062,3.08,0.324188582,0
34,WA,53,33,53033,700,3,530330007003,1248,20800,0.06,1239,20650,1165483,242,122953,683,0,153,229675,0,50759,4063,0,382,3173681,0,381728,0.04180894,80,0.06383383,67716.66667,2.72306074,0.197064221,5.95,0.168102387,3
35,WA,53,33,53033,700,4,530330007004,1405,17562.5,0.08,1368,17100,1493776.892,240.566032,35974,699.4162073,0,32,35929.58655,0,8434,1543.448421,0,168,524425.3819,0,168178,0.0538744,189,0.07567437,19293.10526,0.351073433,0.024052847,2.21,0.453151656,0
36,WA,53,33,53033,800,1,530330008001,1237,6510.5,0.19,1229,6468.4,3884785,625,52140,508,0,12,18941,0,18701,491,0,13,0,0,0,0.13965651,489,0.18833369,2584.210526,0,0.004875688,0.97,1.034623218,0
37,WA,53,33,53033,800,2,530330008002,1511,6044,0.25,1464,5856,5679676,1123,457325,593,0,27,73360,0,40352,604,0,43,0,0,0,0.20381235,563,0.25258793,2416,0,0.01291623,1.02,0.981788079,0
38,WA,53,33,53033,900,1,530330009001,1152,5760,0.2,1147,5735,4314839.678,65,159900.6776,487,0,10,2501,0,2501,463,0,16,34882,0,15833,0.15478372,482,0.20177397,2315,0.008084194,0.000579628,0.95,1.051835853,0
39,WA,53,33,53033,900,2,530330009002,933,4910.5,0.19,929,4889.5,3246683.159,222,334830.9924,384.666493,0,8,15543,0,11488,268.8478634,0,34,67457,0,33727,0.15408819,405,0.18621683,1414.988755,0.020777205,0.004787347,0.70,1.430796169,1
40,WA,53,33,53033,1000,1,530330010001,977,6978.6,0.14,975,6964.3,3143378,504,781792,378,0,50,244266,0,162543,1113,0,120,706079,0,94807,0.11276079,271,0.14333388,7950,0.224624274,0.077708122,2.94,0.339622642,2
41,WA,53,33,53033,1000,2,530330010002,1039,4517.4,0.23,1037,4508.7,5239532,1777,803848,435,0,34,337487,0,247393,927,0,75,418260,0,74970,0.18847767,384,0.22508005,4030.434783,0.07982774,0.064411669,2.13,0.469255663,1
42,WA,53,33,53033,1100,1,530330011001,1410,7050,0.2,1400,7000,4143559,1044,57993,582,0,42,117219,0,80360,1243,0,174,595720,0,173979,0.14864043,449,0.19807011,6215,0.143770126,0.028289449,2.14,0.468222043,0
43,WA,53,33,53033,1100,2,530330011002,1323,6300,0.21,1311,6242.9,4627089,1981,446347,537,0,68,48386,0,16150,839,0,117,420247,0,113427,0.16598516,469,0.21146502,3995.238095,0.090823194,0.010457115,1.56,0.640047676,0
44,WA,53,33,53033,1201,1,530330012011,1473,14730,0.1,1460,14600,2201308,171,215571,979,0,198,504352,-1852,303255,4693,0,801,2900477,0,801052,0.07896666,110,0.09502891,46930,1.317615254,0.22911469,4.79,0.208608566,1
45,WA,53,33,53033,1201,2,530330012012,1401,15566.7,0.09,1394,15488.9,1548759,2693,343883,805,0,207,89130,0,71210,3893,1,1823,2645142,0,1822580,0.05555806,98,0.0941119,43255.55556,1.707910656,0.057549302,4.84,0.206781403,0
