OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Mean Year Built,Minimum Year Built,Maximum Year Built,Standard Deviation Year Built,Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Count of Points,Tract Gini,Tract Gini Margin Error
163,WA,53,33,53033,4401,2,530330044012,1215,12150,0.1,1207,12070,1865.66368,0,2020,361.579666,0.06120556,349,0.09784249,1,0.5294,0.0607
164,WA,53,33,53033,4401,3,530330044013,1001,25025,0.04,1177,29425,1947.58034,1905,2022,36.9300497,0.02839547,153,0.0436859,0,0.5294,0.0607
165,WA,53,33,53033,4402,1,530330044021,1266,31650,0.04,1263,31575,1905.37007,0,2020,362.857943,0.0273258,136,0.04180487,0,0.5123,0.0473
166,WA,53,33,53033,4402,2,530330044022,1235,24700,0.05,1232,24640,1924.29721,0,2021,224.029893,0.03113206,202,0.04982567,0,0.5123,0.0473
167,WA,53,33,53033,4402,3,530330044023,1070,53500,0.02,1069,53450,1959.84024,0,2020,208.277458,0.01435182,73,0.02226266,0,0.5123,0.0473
168,WA,53,33,53033,4500,1,530330045001,1233,11209.1,0.11,1206,10963.6,1935.01418,0,2021,134.391389,0.06243649,339,0.10649244,3,0.4103,0.0488
169,WA,53,33,53033,4500,2,530330045002,1787,11913.3,0.15,1766,11773.3,1926.6068,0,2021,102.107806,0.0903708,592,0.15259552,1,0.4103,0.0488
170,WA,53,33,53033,4600,1,530330046001,1259,1554.3,0.81,1246,1538.3,649.086504,0,2020,918.412253,0.24466191,415,0.81204048,2,0.4352,0.0416
171,WA,53,33,53033,4600,2,530330046002,1174,11740,0.1,1166,11660,1928.34768,0,2020,180.460231,0.06669914,424,0.10210909,0,0.4352,0.0416
172,WA,53,33,53033,4600,3,530330046003,1154,14425,0.08,1151,14387.5,1931.37846,0,2021,100.605241,0.05714421,370,0.08412857,1,0.4352,0.0416
173,WA,53,33,53033,4701,1,530330047011,1349,33725,0.04,1336,33400,1934.232,0,2020,340.594838,0.02563275,107,0.03800807,2,0.3925,0.0565
174,WA,53,33,53033,4701,2,530330047012,1222,9400,0.13,1214,9338.5,1620.2367,0,2020,681.899399,0.09382121,154,0.13297016,14,0.3925,0.0565
175,WA,53,33,53033,4701,3,530330047013,1095,21900,0.05,1089,21780,1853.64268,0,2020,519.163487,0.0293145,55,0.0494595,5,0.3925,0.0565
176,WA,53,33,53033,4702,1,530330047021,1099,21980,0.05,1070,21400,1964.78637,0,2020,204.505057,0.03451413,147,0.05330517,2,0.382,0.0633
177,WA,53,33,53033,4702,2,530330047022,1589,52966.7,0.03,1494,49800,2004.68769,1985,2019,11.2791279,0.0160354,12,0.02622321,0,0.382,0.0633
178,WA,53,33,53033,4702,3,530330047023,1358,67900,0.02,1353,67650,1936.27636,0,2018,341.975767,0.01551406,60,0.02333536,3,0.382,0.0633
179,WA,53,33,53033,4703,1,530330047031,1272,12720,0.1,1205,12050,1897.3365,0,2022,321.889304,0.06368819,360,0.09843379,0,0.377,0.0563
180,WA,53,33,53033,4703,2,530330047032,1367,8543.8,0.16,1285,8031.3,1872.84937,0,2022,474.395117,0.09754892,217,0.15728313,4,0.377,0.0563
181,WA,53,33,53033,4703,3,530330047033,1178,5890,0.2,1145,5725,1637.81516,0,2022,679.737789,0.13931854,296,0.20311858,6,0.377,0.0563
182,WA,53,33,53033,4800,1,530330048001,1190,10818.2,0.11,1154,10490.9,1909.41704,0,2021,265.445099,0.06705888,414,0.10689998,0,0.4612,0.0452
183,WA,53,33,53033,4800,2,530330048002,1331,12100,0.11,1328,12072.7,1918.00957,0,2021,263.92302,0.07497748,407,0.11390383,1,0.4612,0.0452
184,WA,53,33,53033,4800,3,530330048003,1410,8812.5,0.16,1387,8668.8,1829.57625,0,2021,459.259476,0.09837595,412,0.16200549,2,0.4612,0.0452
185,WA,53,33,53033,4800,4,530330048004,1266,11509.1,0.11,1244,11309.1,1933.78898,0,2022,174.891455,0.07324897,421,0.11071366,1,0.4612,0.0452
186,WA,53,33,53033,4901,1,530330049011,1333,16662.5,0.08,1266,15825,1913.745,0,2021,300.918718,0.04659847,252,0.07575879,0,0.4857,0.0715
187,WA,53,33,53033,4901,2,530330049012,1489,24816.7,0.06,1475,24583.3,1958.39816,0,2020,119.832042,0.04106392,238,0.06167584,2,0.4857,0.0715
188,WA,53,33,53033,4901,3,530330049013,1192,23840,0.05,1105,22100,1964.46459,0,2022,172.915577,0.03254023,177,0.05452183,1,0.4857,0.0715
189,WA,53,33,53033,4902,1,530330049021,1783,14858.3,0.12,1729,14408.3,1861.94183,0,2021,428.317855,0.07302719,401,0.12161315,1,0.4247,0.0534
190,WA,53,33,53033,4902,2,530330049022,1431,13009.1,0.11,1414,12854.5,1944.57314,0,2021,260.65931,0.0746546,190,0.10913831,13,0.4247,0.0534
191,WA,53,33,53033,5000,1,530330050001,1834,12226.7,0.15,1754,11693.3,1890.90105,0,2021,327.253975,0.08867905,458,0.150752,5,0.4994,0.0662
192,WA,53,33,53033,5000,2,530330050002,1092,13650,0.08,1084,13550,1671.34628,0,2021,689.754171,0.05381249,262,0.08183813,0,0.4994,0.0662
193,WA,53,33,53033,5000,3,530330050003,1723,28716.7,0.06,1685,28083.3,1943.89289,0,2021,258.658652,0.03299026,150,0.05984651,1,0.4994,0.0662
194,WA,53,33,53033,5100,1,530330051001,1492,12433.3,0.12,1470,12250,1660.75744,0,2021,696.91547,0.08381705,403,0.12376715,2,0.467,0.0452
195,WA,53,33,53033,5100,2,530330051002,1377,11475,0.12,1375,11458.3,1911.78834,0,2021,195.730064,0.08097787,478,0.12310706,0,0.467,0.0452
196,WA,53,33,53033,5100,3,530330051003,1168,12977.8,0.09,1167,12966.7,1930.34296,0,2021,126.77154,0.06163491,389,0.09358294,0,0.467,0.0452
197,WA,53,33,53033,5201,1,530330052011,1352,12290.9,0.11,1332,12109.1,1790.65027,0,2020,504.615127,0.06330241,325,0.11496103,0,0.5237,0.042
198,WA,53,33,53033,5201,2,530330052012,1364,13640,0.1,1340,13400,1930.02963,0,2020,130.291984,0.06319128,378,0.10115559,1,0.5237,0.042
199,WA,53,33,53033,5201,3,530330052013,1230,24600,0.05,1226,24520,1509.59898,0,2021,850.647204,0.02665587,86,0.05404378,2,0.5237,0.042
200,WA,53,33,53033,5202,1,530330052021,1290,43000,0.03,1231,41033.3,1666.4844,0,2020,754.571762,0.01388175,34,0.02701637,0,0.5534,0.0634
201,WA,53,33,53033,5202,2,530330052022,1207,24140,0.05,1201,24020,1451.15583,0,2018,826.188688,0.02240214,49,0.04530952,2,0.5534,0.0634
202,WA,53,33,53033,5202,3,530330052023,1196,39866.7,0.03,1163,38766.7,1933.18514,0,2021,333.58284,0.01747321,69,0.03165375,1,0.5534,0.0634
203,WA,53,33,53033,5303,1,530330053031,1628,10853.3,0.15,1601,10673.3,574.573901,0,1985,693.623308,0.10912604,9,0.14990067,0,0.553,0.129
204,WA,53,33,53033,5303,2,530330053032,3717,4705.1,0.79,3709,4694.9,0.52008162,0,820.453058,20.0021713,0.67784494,8,0.78851735,0,0.553,0.129
205,WA,53,33,53033,5304,1,530330053041,1853,185300,0.01,1865,186500,161.867287,161.867287,161.867287,0,0.00573069,1,0.01070141,0,0.4505,0.0972
206,WA,53,33,53033,5304,2,530330053042,1663,83150,0.02,1641,82050,242.611255,207.563101,1985,349.478209,0.00749624,2,0.0174967,0,0.4505,0.0972
207,WA,53,33,53033,5305,1,530330053051,1375,27500,0.05,1354,27080,1567.8644,0,2021,813.054568,0.03190754,90,0.05003541,5,0.5293,0.0869
208,WA,53,33,53033,5305,2,530330053052,1658,55266.7,0.03,1531,51033.3,1826.18907,0,2018,546.292131,0.02060485,53,0.03219232,1,0.5293,0.0869
209,WA,53,33,53033,5306,1,530330053061,1630,32600,0.05,1678,33560,1725.31036,0,2021,684.983792,0.03510589,89,0.05240783,5,0.5764,0.0786
210,WA,53,33,53033,5306,2,530330053062,1484,49466.7,0.03,1456,48533.3,1877.2715,0,2020,485.669736,0.01536358,28,0.02500051,2,0.5764,0.0786
211,WA,53,33,53033,5307,1,530330053071,1028,51400,0.02,936,46800,1889.90916,0,2010,441.158117,0.00925536,30,0.01553795,0,0.4852,0.183
212,WA,53,33,53033,5307,2,530330053072,628,62800,0.01,714,71400,1952.59139,0,2016,259.189134,0.00923936,36,0.01332807,0,0.4852,0.183
213,WA,53,33,53033,5307,3,530330053073,1269,63450,0.02,1271,63550,1985.7599,1914,2016,18.8810097,0.01423435,55,0.02133796,0,0.4852,0.183
214,WA,53,33,53033,5401,1,530330054011,1267,31675,0.04,1253,31325,1971.43073,0,2020,213.227713,0.0235974,82,0.03921276,1,0.4335,0.0523
215,WA,53,33,53033,5401,2,530330054012,1348,9628.6,0.14,1339,9564.3,1634.77672,0,2020,481.891428,0.08924928,210,0.13558716,1,0.4335,0.0523
216,WA,53,33,53033,5401,3,530330054013,1272,10600,0.12,1261,10508.3,1682.29891,0,2020,629.011556,0.07825459,206,0.11693168,2,0.4335,0.0523
217,WA,53,33,53033,5402,1,530330054021,1219,13544.4,0.09,1188,13200,1935.13066,1900,2020,36.0086333,0.05699256,370,0.08562014,0,0.4597,0.0589
218,WA,53,33,53033,5402,2,530330054022,1145,22900,0.05,1138,22760,1943.34315,0,2020,235.108763,0.03099716,157,0.0480971,0,0.4597,0.0589
219,WA,53,33,53033,5402,3,530330054023,1009,20180,0.05,936,18720,1893.64267,0,2021,393.376952,0.02770261,131,0.0453995,0,0.4597,0.0589
220,WA,53,33,53033,5600,1,530330056001,1574,8744.4,0.18,1559,8661.1,1930.21814,0,2022,244.057705,0.13143168,605,0.18355585,0,0.4467,0.0453
221,WA,53,33,53033,5600,2,530330056002,1385,4946.4,0.28,1375,4910.7,1754.86924,0,2021,569.65227,0.20272554,567,0.27579257,0,0.4467,0.0453
222,WA,53,33,53033,5600,3,530330056003,1445,4250,0.34,1434,4217.6,1345.38498,0,2022,901.546139,0.22099723,599,0.33801678,1,0.4467,0.0453
223,WA,53,33,53033,5600,4,530330056004,1365,8029.4,0.17,1357,7982.4,1950.68666,0,2021,105.206065,0.11785557,532,0.17409012,1,0.4467,0.0453
224,WA,53,33,53033,5600,5,530330056005,1420,7100,0.2,1405,7025,1834.05086,0,2022,465.312733,0.12257546,607,0.19520571,1,0.4467,0.0453
225,WA,53,33,53033,5700,1,530330057001,1365,1083.3,1.26,1346,1068.3,1719.48497,0,2022,674.762986,1.14997882,464,1.25755755,2,0.4337,0.0588
226,WA,53,33,53033,5700,2,530330057002,1205,8033.3,0.15,1182,7880,1956.01869,0,2021,35.710182,0.09930838,426,0.15287364,0,0.4337,0.0588
227,WA,53,33,53033,5700,3,530330057003,1393,6633.3,0.21,1376,6552.4,1959.19354,1920,2021,26.6026724,0.13689211,477,0.20722051,2,0.4337,0.0588
228,WA,53,33,53033,5700,4,530330057004,1307,8713.3,0.15,1300,8666.7,1957.43009,0,2022,49.0786662,0.09286038,433,0.1476079,0,0.4337,0.0588
229,WA,53,33,53033,5700,5,530330057005,1397,8217.6,0.17,1382,8129.4,1502.03466,0,2021,802.503456,0.11293161,374,0.16732007,1,0.4337,0.0588
230,WA,53,33,53033,5801,1,530330058011,1385,17312.5,0.08,1331,16637.5,1964.58574,0,2022,129.572624,0.0538275,258,0.08215146,0,0.3864,0.0486
231,WA,53,33,53033,5801,2,530330058012,1743,21787.5,0.08,1727,21587.5,1654.14391,0,2020,731.283911,0.06000273,169,0.08170116,1,0.3864,0.0486
232,WA,53,33,53033,5801,3,530330058013,1396,10738.5,0.13,1360,10461.5,1688.98943,0,2021,688.490421,0.08932317,289,0.13059295,1,0.3864,0.0486
233,WA,53,33,53033,5801,4,530330058014,1735,4231.7,0.41,1698,4141.5,1563.90051,0,2022,699.603466,0.3019816,414,0.40915897,3,0.3864,0.0486
234,WA,53,33,53033,5803,1,530330058031,1838,12253.3,0.15,1731,11540,1952.34406,0,2020,158.180794,0.10152166,436,0.15148994,0,0.4405,0.0646
235,WA,53,33,53033,5803,2,530330058032,1658,9752.9,0.17,1616,9505.9,1492.07463,0,2021,847.710581,0.11205252,399,0.16979476,1,0.4405,0.0646
236,WA,53,33,53033,5804,1,530330058041,1485,1811,0.82,1319,1608.5,1347.72182,0,2019,837.091317,0.73019367,285,0.81530621,5,0.4221,0.0599
237,WA,53,33,53033,5804,2,530330058042,1687,18744.4,0.09,1674,18600,1848.88379,0,2021,500.547548,0.05234074,170,0.08509382,1,0.4221,0.0599
238,WA,53,33,53033,5901,1,530330059011,1318,8237.5,0.16,1295,8093.8,1380.74275,0,2022,711.158655,0.11309103,248,0.1550739,3,0.4351,0.0681
239,WA,53,33,53033,5901,2,530330059012,922,13171.4,0.07,1056,15085.7,1937.7051,0,2021,294.88937,0.05831508,113,0.07417856,0,0.4351,0.0681
240,WA,53,33,53033,5901,3,530330059013,1157,16528.6,0.07,1219,17414.3,1692.45397,0,2021,696.854506,0.04683586,177,0.0711489,1,0.4351,0.0681
241,WA,53,33,53033,5902,1,530330059021,1433,14330,0.1,1415,14150,1934.85201,0,2021,227.513719,0.06946929,362,0.10246817,0,0.4342,0.0501
242,WA,53,33,53033,5902,2,530330059022,1418,11816.7,0.12,1337,11141.7,1931.00958,0,2021,147.822852,0.08237503,481,0.12364291,0,0.4342,0.0501
243,WA,53,33,53033,5902,3,530330059023,1388,8164.7,0.17,1375,8088.2,1936.78365,0,2021,229.04367,0.12052596,443,0.16888481,0,0.4342,0.0501
244,WA,53,33,53033,6000,1,530330060001,1677,16770,0.1,1641,16410,1491.62943,0,2020,827.580693,0.05310141,162,0.09697044,1,0.4526,0.0464
245,WA,53,33,53033,6000,2,530330060002,1512,9450,0.16,1464,9150,1696.82883,0,2021,644.386106,0.10011433,497,0.16419034,1,0.4526,0.0464
246,WA,53,33,53033,6000,3,530330060003,1542,10280,0.15,1533,10220,1662.44169,0,2021,689.995926,0.10337709,493,0.14976857,1,0.4526,0.0464
247,WA,53,33,53033,6000,4,530330060004,1467,13336.4,0.11,1423,12936.4,1642.6633,0,2021,751.325525,0.06492404,196,0.10670716,0,0.4526,0.0464
248,WA,53,33,53033,6100,1,530330061001,1423,12936.4,0.11,1319,11990.9,1739.12349,0,2021,587.433677,0.06676972,297,0.1120639,0,0.4454,0.0307
249,WA,53,33,53033,6100,2,530330061002,1256,6977.8,0.18,1221,6783.3,1520.18766,0,2020,733.248544,0.08950216,357,0.17699345,1,0.4454,0.0307
250,WA,53,33,53033,6100,3,530330061003,860,21500,0.04,808,20200,1966.06687,0,2022,118.519877,0.02033891,86,0.03816968,0,0.4454,0.0307
251,WA,53,33,53033,6100,4,530330061004,895,14916.7,0.06,891,14850,1570.02438,0,2019,679.325846,0.02901485,66,0.05907693,1,0.4454,0.0307
252,WA,53,33,53033,6100,5,530330061005,1478,18475,0.08,1428,17850,1893.66155,0,2020,414.036985,0.04373836,182,0.07553475,3,0.4454,0.0307
253,WA,53,33,53033,6200,1,530330062001,1520,3102,0.49,1516,3093.9,1490.19178,0,2020,529.111471,0.30561426,552,0.48858156,4,0.4371,0.0425
254,WA,53,33,53033,6200,2,530330062002,1540,7000,0.22,1536,6981.8,1699.08138,0,2022,491.857888,0.13581406,569,0.217668,2,0.4371,0.0425
255,WA,53,33,53033,6200,3,530330062003,1029,4473.9,0.23,1023,4447.8,1590.29848,0,2021,753.171252,0.13017531,394,0.23432914,3,0.4371,0.0425
256,WA,53,33,53033,6300,1,530330063001,1348,8425,0.16,1343,8393.8,1691.57068,0,2022,618.755472,0.11343537,387,0.16132821,0,0.562,0.0374
257,WA,53,33,53033,6300,2,530330063002,1511,2747.3,0.55,1502,2730.9,1094.12798,0,2021,935.693995,0.46305911,588,0.54993267,1,0.562,0.0374
258,WA,53,33,53033,6300,3,530330063003,1326,16575,0.08,1318,16475,1545.94052,0,2021,645.958705,0.057215,244,0.0821773,1,0.562,0.0374
259,WA,53,33,53033,6300,4,530330063004,1374,6542.9,0.21,1367,6509.5,1711.01799,0,2022,451.029082,0.1444309,393,0.21437371,1,0.562,0.0374
260,WA,53,33,53033,6400,1,530330064001,1142,9516.7,0.12,1132,9433.3,1843.13733,0,2022,456.245385,0.07237852,427,0.11611451,0,0.5109,0.0627
261,WA,53,33,53033,6400,2,530330064002,996,11066.7,0.09,988,10977.8,1923.9219,1900,2017,35.9988104,0.05997551,298,0.08975291,0,0.5109,0.0627
262,WA,53,33,53033,6400,3,530330064003,1313,9378.6,0.14,1300,9285.7,1930.47782,0,2021,91.3843833,0.09487521,408,0.1430436,0,0.5109,0.0627
263,WA,53,33,53033,6500,1,530330065001,1652,5900,0.28,1553,5546.4,1918.28436,0,2021,325.106853,0.22974142,443,0.27639966,2,0.4693,0.0483
264,WA,53,33,53033,6500,2,530330065002,1512,15120,0.1,1477,14770,1779.25271,0,2021,552.489946,0.06789446,279,0.10000863,0,0.4693,0.0483
265,WA,53,33,53033,6500,3,530330065003,1645,23500,0.07,1642,23457.1,1959.96786,0,2021,153.393019,0.04604235,175,0.06669599,0,0.4693,0.0483
266,WA,53,33,53033,6600,1,530330066001,1074,4881.8,0.22,1070,4863.6,1702.83497,0,2021,519.714372,0.11947482,98,0.2151783,1,0.4777,0.0527
267,WA,53,33,53033,6600,2,530330066002,1915,31916.7,0.06,1851,30850,1925.63889,0,2021,355.498958,0.03623607,172,0.06374279,3,0.4777,0.0527
268,WA,53,33,53033,6600,3,530330066003,1164,7760,0.15,1140,7600,1711.51949,0,2020,661.719654,0.07947339,196,0.14879583,0,0.4777,0.0527
269,WA,53,33,53033,6701,1,530330067011,1293,64650,0.02,1286,64300,1842.5991,0,2016,584.931975,0.00981598,9,0.01900759,0,0.3572,0.0587
270,WA,53,33,53033,6701,2,530330067012,1309,26180,0.05,1140,22800,1296.32427,0,2016,905.613493,0.0325212,25,0.05286984,0,0.3572,0.0587
271,WA,53,33,53033,6701,3,530330067013,1827,26100,0.07,1634,23342.9,1725.78717,0,2019,577.737524,0.0468282,121,0.07494723,0,0.3572,0.0587
272,WA,53,33,53033,6702,1,530330067021,1337,26740,0.05,1155,23100,1938.64818,0,2019,302.411053,0.02903543,120,0.04724345,2,0.3418,0.0727
273,WA,53,33,53033,6702,2,530330067022,1068,53400,0.02,1064,53200,1998.72078,1965,2021,20.4982097,0.01430174,13,0.02468241,0,0.3418,0.0727
274,WA,53,33,53033,6702,3,530330067023,1096,21920,0.05,1037,20740,1883.72125,0,2022,451.488137,0.02583585,98,0.04574168,0,0.3418,0.0727
275,WA,53,33,53033,6703,1,530330067031,1061,10610,0.1,1042,10420,1673.76857,0,2020,680.15135,0.06438509,308,0.10375544,1,0.5014,0.065
276,WA,53,33,53033,6703,2,530330067032,1047,14957.1,0.07,1011,14442.9,1437.82796,0,2021,889.819622,0.04522164,116,0.06705328,1,0.5014,0.065
277,WA,53,33,53033,6703,3,530330067033,1216,20266.7,0.06,1206,20100,1831.82811,0,2020,498.151285,0.03961425,165,0.05974043,1,0.5014,0.065
278,WA,53,33,53033,6800,1,530330068001,1291,12910,0.1,1247,12470,1832.60183,0,2022,461.503288,0.06518222,361,0.09987396,0,0.529,0.05
279,WA,53,33,53033,6800,2,530330068002,1073,13412.5,0.08,1070,13375,1922.48266,0,2022,228.941379,0.05042863,307,0.08293079,1,0.529,0.05
280,WA,53,33,53033,6800,3,530330068003,1019,11322.2,0.09,1024,11377.8,1867.97253,0,2020,422.381402,0.0602321,260,0.09445505,3,0.529,0.05
281,WA,53,33,53033,6900,1,530330069001,1621,18011.1,0.09,1527,16966.7,1951.93793,0,2022,138.918314,0.06072692,355,0.09438408,2,0.4887,0.0488
282,WA,53,33,53033,6900,2,530330069002,1637,13641.7,0.12,1620,13500,1943.07132,0,2022,107.288547,0.07576959,491,0.12296202,1,0.4887,0.0488
283,WA,53,33,53033,6900,3,530330069003,1566,12046.2,0.13,1551,11930.8,1901.36309,0,2021,318.362972,0.08293471,339,0.1321286,2,0.4887,0.0488
284,WA,53,33,53033,7001,1,530330070011,1382,17275,0.08,1341,16762.5,1851.64748,0,2022,463.226288,0.05432447,166,0.08264712,3,0.4817,0.076
285,WA,53,33,53033,7001,2,530330070012,1350,45000,0.03,1293,43100,1993.60866,1908,2016,15.5042538,0.01749312,44,0.02671213,0,0.4817,0.076
286,WA,53,33,53033,7001,3,530330070013,1129,37633.3,0.03,1123,37433.3,1927.6164,0,2021,347.209968,0.01823041,35,0.0289842,0,0.4817,0.076
287,WA,53,33,53033,7002,1,530330070021,1278,31950,0.04,1271,31775,1972.21914,1900,2017,37.0854923,0.02939958,97,0.04486578,1,0.5359,0.0711
288,WA,53,33,53033,7002,2,530330070022,1323,18900,0.07,1312,18742.9,1940.88243,0,2019,254.123157,0.04726432,172,0.07415325,1,0.5359,0.0711
289,WA,53,33,53033,7002,3,530330070023,1660,33200,0.05,1398,27960,1936.60087,0,2021,328.852052,0.03194562,94,0.05127115,2,0.5359,0.0711
290,WA,53,33,53033,7101,1,530330071011,1708,42700,0.04,1635,40875,1685.75958,0,2022,732.897302,0.0241522,60,0.03886951,1,0.326,0.0582
291,WA,53,33,53033,7101,2,530330071012,1832,12213.3,0.15,1586,10573.3,1914.27555,0,2021,404.285967,0.13156904,47,0.15226199,2,0.326,0.0582
292,WA,53,33,53033,7102,1,530330071021,1349,13490,0.1,1345,13450,1726.8096,0,2020,691.355286,0.05691084,77,0.09901032,0,0.3988,0.0481
293,WA,53,33,53033,7102,2,530330071022,1355,45166.7,0.03,1316,43866.7,1890.87367,0,2020,465.061204,0.01852122,39,0.03068944,0,0.3988,0.0481
294,WA,53,33,53033,7201,1,530330072011,1777,88850,0.02,1752,87600,1967.03446,0,2022,271.975918,0.01312933,18,0.02402515,0,0.5004,0.0544
295,WA,53,33,53033,7201,2,530330072012,1117,55850,0.02,1108,55400,1848.56193,0,2014,531.897739,0.00848114,22,0.01923191,1,0.5004,0.0544
296,WA,53,33,53033,7201,3,530330072013,2400,240000,0.01,1786,178600,1881.80236,0,2022,532.690745,0.00767568,6,0.01494695,0,0.5004,0.0544
297,WA,53,33,53033,7202,1,530330072021,1487,74350,0.02,1473,73650,1777.80607,0,2018,628.999711,0.01394683,35,0.0249037,0,0.4068,0.0753
298,WA,53,33,53033,7202,2,530330072022,1357,33925,0.04,808,20200,1866.01821,0,2021,495.718631,0.02033168,34,0.03690366,2,0.4068,0.0753
299,WA,53,33,53033,7202,3,530330072023,1893,37860,0.05,1867,37340,1772.80366,0,2020,655.419887,0.02456036,27,0.04652657,3,0.4068,0.0753
300,WA,53,33,53033,7203,1,530330072031,1762,16018.2,0.11,1750,15909.1,1790.07265,0,2020,622.083539,0.06634783,76,0.11475329,4,0.3684,0.055
301,WA,53,33,53033,7203,2,530330072032,1857,16881.8,0.11,1671,15190.9,1870.00414,0,2015,499.935901,0.0573888,50,0.10904057,1,0.3684,0.055
302,WA,53,33,53033,7301,1,530330073011,1556,31120,0.05,1538,30760,1600.93763,0,2021,817.83432,0.02589621,27,0.04792242,3,0.4546,0.0583
303,WA,53,33,53033,7301,2,530330073012,1242,62100,0.02,1220,61000,1739.83333,0,2017,686.272613,0.01393145,22,0.02176654,0,0.4546,0.0583
304,WA,53,33,53033,7301,3,530330073013,990,33000,0.03,978,32600,1952.0024,0,2018,338.774438,0.01120598,14,0.02713667,0,0.4546,0.0583
305,WA,53,33,53033,7302,1,530330073021,1183,39433.3,0.03,1176,39200,1711.27423,0,2018,724.227489,0.01815292,22,0.03204064,2,0.4183,0.0578
306,WA,53,33,53033,7302,2,530330073022,2325,33214.3,0.07,2029,28985.7,1786.1963,0,2021,632.706677,0.03656598,46,0.06619454,3,0.4183,0.0578
307,WA,53,33,53033,7302,3,530330073023,2103,105150,0.02,2085,104250,1788.22291,0,2016,634.277266,0.013512,17,0.02261714,3,0.4183,0.0578
308,WA,53,33,53033,7303,1,530330073031,1537,25616.7,0.06,1440,24000,1859.97361,0,2022,544.352663,0.03437713,27,0.05926133,4,0.3669,0.059
309,WA,53,33,53033,7303,2,530330073032,1807,60233.3,0.03,1412,47066.7,1259.86268,0,2018,1012.89482,0.02108262,13,0.03228807,0,0.3669,0.059
310,WA,53,33,53033,7303,3,530330073033,1033,34433.3,0.03,1028,34266.7,1977.07408,0,2018,230.644628,0.01845343,17,0.02949765,0,0.3669,0.059
311,WA,53,33,53033,7403,1,530330074031,1368,68400,0.02,1306,65300,1853.80712,0,2015,512.28838,0.01265158,31,0.01983375,2,0.4037,0.041
312,WA,53,33,53033,7403,2,530330074032,1262,42066.7,0.03,1239,41300,1976.56354,0,2020,177.375294,0.01617341,59,0.02593897,2,0.4037,0.041
313,WA,53,33,53033,7404,1,530330074041,1522,50733.3,0.03,1509,50300,1951.50551,0,2014,184.24844,0.01583967,52,0.02766505,2,0.3983,0.0461
314,WA,53,33,53033,7404,2,530330074042,1295,43166.7,0.03,1290,43000,1941.44007,0,2017,314.082161,0.01547947,54,0.03168976,1,0.3983,0.0461
315,WA,53,33,53033,7405,1,530330074051,1426,47533.3,0.03,1421,47366.7,1744.58974,0,2021,617.196261,0.01989951,56,0.030274,3,0.3977,0.0562
316,WA,53,33,53033,7405,2,530330074052,1383,69150,0.02,1380,69000,1888.06447,0,2020,442.975587,0.0129815,54,0.02062363,1,0.3977,0.0562
317,WA,53,33,53033,7406,1,530330074061,1293,43100,0.03,1220,40666.7,1884.91356,0,2021,448.256121,0.01817548,63,0.03121398,2,0.4621,0.0493
318,WA,53,33,53033,7406,2,530330074062,1372,45733.3,0.03,1369,45633.3,1991.97971,1920,2016,13.8511082,0.01024272,31,0.02702496,4,0.4621,0.0493
319,WA,53,33,53033,7501,1,530330075011,1298,43266.7,0.03,1286,42866.7,1900.15779,0,2020,384.269411,0.02194655,106,0.03448419,0,0.5499,0.0726
320,WA,53,33,53033,7501,2,530330075012,1314,32850,0.04,1233,30825,1924.15722,0,2020,315.302931,0.0252715,124,0.03858777,1,0.5499,0.0726
321,WA,53,33,53033,7501,3,530330075013,1415,35375,0.04,1396,34900,1975.9952,0,2020,144.539166,0.02774017,93,0.04209311,3,0.5499,0.0726
322,WA,53,33,53033,7502,1,530330075021,1146,38200,0.03,1131,37700,1921.45442,0,2022,351.541822,0.01959115,72,0.03104479,0,0.4604,0.1072
323,WA,53,33,53033,7502,2,530330075022,1382,34550,0.04,1344,33600,1955.52917,0,2021,235.680533,0.02275176,99,0.03638234,1,0.4604,0.1072
324,WA,53,33,53033,7502,3,530330075023,1396,27920,0.05,999,19980,1963.02056,0,2020,258.350995,0.03863744,54,0.05455408,3,0.4604,0.1072
325,WA,53,33,53033,7503,1,530330075031,1311,26220,0.05,1252,25040,1923.05182,0,2020,384.757398,0.0287427,72,0.04635259,9,0.484,0.1036
326,WA,53,33,53033,7503,2,530330075032,1461,48700,0.03,1208,40266.7,1938.72053,0,2019,343.699596,0.01550901,40,0.02606033,5,0.484,0.1036
327,WA,53,33,53033,7600,1,530330076001,1399,19985.7,0.07,1358,19400,1941.41346,0,2022,124.990867,0.04012563,227,0.06587451,1,0.4858,0.0706
328,WA,53,33,53033,7600,2,530330076002,1671,20887.5,0.08,1552,19400,1957.24252,0,2021,220.113803,0.05715646,215,0.08242,1,0.4858,0.0706
329,WA,53,33,53033,7600,3,530330076003,1470,21000,0.07,1434,20485.7,1867.15249,0,2020,434.375767,0.04653738,188,0.07250677,1,0.4858,0.0706
330,WA,53,33,53033,7700,1,530330077001,1337,8913.3,0.15,1326,8840,1879.58422,0,2022,383.83707,0.09716744,546,0.15267916,1,0.4677,0.0386
