OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Mean Year Built,Minimum Year Built,Maximum Year Built,Standard Deviation Year Built,Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Count of Points,Tract Gini,Tract Gini Margin Error
37,WA,53,33,53033,800,2,530330008002,1511,6044,0.25,1464,5856,1759.75728,0,2021,598.401325,0.20381235,563,0.25258793,0,0.3759,0.0453
38,WA,53,33,53033,900,1,530330009001,1152,5760,0.2,1147,5735,1821.90916,0,2019,508.274593,0.15478372,482,0.20177397,0,0.4661,0.0383
39,WA,53,33,53033,900,2,530330009002,933,4910.5,0.19,929,4889.5,1533.82867,0,2017,688.819949,0.15408819,405,0.18621683,1,0.4661,0.0383
40,WA,53,33,53033,1000,1,530330010001,977,6978.6,0.14,975,6964.3,1941.50276,0,2021,200.607652,0.11276079,271,0.14333388,2,0.4622,0.08
41,WA,53,33,53033,1000,2,530330010002,1039,4517.4,0.23,1037,4508.7,1824.77181,0,2020,521.494409,0.18847767,384,0.22508005,1,0.4622,0.08
42,WA,53,33,53033,1100,1,530330011001,1410,7050,0.2,1400,7000,1910.91178,0,2021,312.703939,0.14864043,449,0.19807011,0,0.3983,0.0496
43,WA,53,33,53033,1100,2,530330011002,1323,6300,0.21,1311,6242.9,1656.27205,0,2022,707.265571,0.16598516,469,0.21146502,0,0.3983,0.0496
44,WA,53,33,53033,1201,1,530330012011,1473,14730,0.1,1460,14600,1714.53736,0,2021,684.719736,0.07896666,110,0.09502891,1,0.5408,0.0683
45,WA,53,33,53033,1201,2,530330012012,1401,15566.7,0.09,1394,15488.9,1951.34803,0,2015,266.188484,0.05555806,98,0.0941119,0,0.5408,0.0683
46,WA,53,33,53033,1201,3,530330012013,971,4855,0.2,927,4635,1979.3358,0.64534116,2020,34.0996037,0.13266841,33,0.20014348,0,0.5408,0.0683
47,WA,53,33,53033,1202,1,530330012021,1215,7593.8,0.16,1131,7068.8,1899.07385,0,2020,344.38443,0.11726392,391,0.15893537,1,0.4753,0.0765
48,WA,53,33,53033,1202,2,530330012022,1149,12766.7,0.09,1142,12688.9,1760.11748,0,2021,601.190796,0.07686094,240,0.09496317,1,0.4753,0.0765
49,WA,53,33,53033,1202,3,530330012023,1611,26850,0.06,1607,26783.3,1623.50494,0,2022,773.912976,0.05250024,96,0.06325441,2,0.4753,0.0765
50,WA,53,33,53033,1300,1,530330013001,1853,9752.6,0.19,1824,9600,1656.35062,0,2022,716.723383,0.13993859,445,0.19402838,2,0.4115,0.0435
51,WA,53,33,53033,1300,2,530330013002,1540,17111.1,0.09,1549,17211.1,1964.08772,0,2021,108.560206,0.06180278,296,0.09452056,0,0.4115,0.0435
52,WA,53,33,53033,1300,3,530330013003,1721,10123.5,0.17,1712,10070.6,1846.75594,0,2022,493.605266,0.1203064,328,0.16737506,1,0.4115,0.0435
53,WA,53,33,53033,1400,1,530330014001,1157,9641.7,0.12,1151,9591.7,1949.20045,0,2021,89.728897,0.08755786,318,0.12467964,0,0.4235,0.0386
54,WA,53,33,53033,1400,2,530330014002,1408,7040,0.2,1363,6815,1440.94248,0,2021,864.820439,0.147976,384,0.19869067,1,0.4235,0.0386
55,WA,53,33,53033,1400,3,530330014003,1292,8613.3,0.15,1256,8373.3,1736.94154,0,2021,631.912439,0.11222805,292,0.14625104,0,0.4235,0.0386
56,WA,53,33,53033,1400,4,530330014004,1542,4283.3,0.36,1528,4244.4,1395.67405,0,2021,713.798096,0.30265049,583,0.36136016,1,0.4235,0.0386
57,WA,53,33,53033,1500,1,530330015001,1300,6500,0.2,1290,6450,1710.54937,0,2021,654.759128,0.15185522,524,0.2016716,1,0.4519,0.0444
58,WA,53,33,53033,1500,2,530330015002,1416,5664,0.25,1389,5556,1635.46958,0,2021,727.523657,0.19193089,539,0.24878925,0,0.4519,0.0444
59,WA,53,33,53033,1600,1,530330016001,1465,3959.5,0.37,1461,3948.6,1409.66623,0,2022,882.28505,0.30649779,630,0.37348467,0,0.4182,0.0461
60,WA,53,33,53033,1600,2,530330016002,1449,5573.1,0.26,1445,5557.7,1955.22138,0,2021,145.514346,0.19451858,576,0.25540875,0,0.4182,0.0461
61,WA,53,33,53033,1600,3,530330016003,1743,12450,0.14,1598,11414.3,1929.77563,0,2021,277.979615,0.1025009,429,0.14444297,1,0.4182,0.0461
62,WA,53,33,53033,1701,1,530330017011,1934,14876.9,0.13,1748,13446.2,1935.58982,0,2022,280.809886,0.08964759,288,0.12500593,1,0.4119,0.0526
63,WA,53,33,53033,1701,2,530330017012,1347,11225,0.12,1340,11166.7,1848.92333,0,2022,447.612305,0.08051766,310,0.11770609,1,0.4119,0.0526
64,WA,53,33,53033,1701,3,530330017013,1163,11630,0.1,1164,11640,1883.75183,0,2022,376.025346,0.06485099,334,0.10198693,0,0.4119,0.0526
65,WA,53,33,53033,1702,1,530330017021,1367,15188.9,0.09,1337,14855.6,1924.37733,0,2021,293.885139,0.05993683,221,0.08581186,0,0.4098,0.0337
66,WA,53,33,53033,1702,2,530330017022,1140,8769.2,0.13,1132,8707.7,1932.98883,0,2021,228.101055,0.09246464,402,0.12544127,0,0.4098,0.0337
67,WA,53,33,53033,1702,3,530330017023,1295,11772.7,0.11,1294,11763.6,1960.08077,0,2021,69.4628575,0.08155898,319,0.11364675,0,0.4098,0.0337
68,WA,53,33,53033,1702,4,530330017024,1576,9270.6,0.17,1564,9200,1942.44826,0,2021,201.943988,0.11856291,472,0.16940908,1,0.4098,0.0337
69,WA,53,33,53033,1800,1,530330018001,1728,10800,0.16,1709,10681.3,1938.557,0,2021,265.937197,0.12186253,441,0.16406338,0,0.4692,0.0565
70,WA,53,33,53033,1800,2,530330018002,1802,20022.2,0.09,1690,18777.8,1966.81913,0,2022,156.100974,0.06467358,300,0.09424446,0,0.4692,0.0565
71,WA,53,33,53033,1800,3,530330018003,1757,15972.7,0.11,1710,15545.5,1927.24281,0,2021,303.218182,0.07575358,341,0.10698303,0,0.4692,0.0565
72,WA,53,33,53033,1900,1,530330019001,1619,10118.8,0.16,1610,10062.5,1926.8247,0,2022,234.658004,0.12956575,525,0.16001114,0,0.4272,0.0406
73,WA,53,33,53033,1900,2,530330019002,1429,7521.1,0.19,1416,7452.6,1941.29486,0,2022,181.5863,0.11586588,529,0.18800991,0,0.4272,0.0406
74,WA,53,33,53033,1900,3,530330019003,1164,38800,0.03,719,23966.7,684.083772,0,2011,1043.61002,0.02546573,6,0.03135505,0,0.4272,0.0406
75,WA,53,33,53033,1900,4,530330019004,1220,4692.3,0.26,1214,4669.2,1947.4669,0,2022,283.666989,0.20053283,234,0.26437379,0,0.4272,0.0406
76,WA,53,33,53033,2000,1,530330020001,1394,10723.1,0.13,1376,10584.6,1927.00177,0,2021,243.660423,0.0976261,393,0.12801713,0,0.4372,0.0535
77,WA,53,33,53033,2000,2,530330020002,1228,8186.7,0.15,1184,7893.3,1858.09349,0,2022,424.780793,0.10919711,431,0.149787,0,0.4372,0.0535
78,WA,53,33,53033,2000,3,530330020003,1194,7462.5,0.16,1163,7268.8,1381.14182,0,2021,894.536317,0.13454009,394,0.15924771,1,0.4372,0.0535
79,WA,53,33,53033,2100,1,530330021001,1428,7515.8,0.19,1425,7500,1940.15443,0,2021,177.710226,0.14296406,528,0.19441481,0,0.4552,0.041
80,WA,53,33,53033,2100,2,530330021002,1376,7242.1,0.19,1365,7184.2,1912.97081,0,2022,320.641125,0.13766099,427,0.1864167,0,0.4552,0.041
81,WA,53,33,53033,2100,3,530330021003,1711,11406.7,0.15,1633,10886.7,1899.4013,0,2022,365.447813,0.10658822,367,0.14637598,3,0.4552,0.041
82,WA,53,33,53033,2200,1,530330022001,1575,6562.5,0.24,1572,6550,1939.1002,0,2021,225.133562,0.17420319,601,0.2378807,0,0.4121,0.0531
83,WA,53,33,53033,2200,2,530330022002,1506,6845.5,0.22,1503,6831.8,1903.17219,0,2019,336.860336,0.17067386,571,0.21923105,2,0.4121,0.0531
84,WA,53,33,53033,2200,3,530330022003,1603,6412,0.25,1597,6388,1601.21491,0,2019,704.934243,0.19095058,559,0.24555542,1,0.4121,0.0531
85,WA,53,33,53033,2200,4,530330022004,1333,3507.9,0.38,1276,3357.9,1775.73647,0,2022,615.059812,0.32610703,440,0.37997924,1,0.4121,0.0531
86,WA,53,33,53033,2400,1,530330024001,1536,7314.3,0.21,1509,7185.7,1957.16402,0,2021,95.57586,0.15989692,597,0.21499627,0,0.3608,0.0495
87,WA,53,33,53033,2400,2,530330024002,1729,10806.3,0.16,1708,10675,1911.58551,0,2021,323.015014,0.11069373,496,0.15664517,0,0.3608,0.0495
88,WA,53,33,53033,2500,1,530330025001,1610,6708.3,0.24,1589,6620.8,1651.27517,0,2022,712.993623,0.17542059,634,0.24015551,0,0.4245,0.0392
89,WA,53,33,53033,2500,2,530330025002,1617,11550,0.14,1566,11185.7,1950.91478,0,2022,137.637045,0.10012371,474,0.13990267,2,0.4245,0.0392
90,WA,53,33,53033,2600,1,530330026001,1150,12777.8,0.09,1141,12677.8,1921.24814,0,2019,217.480149,0.06027565,394,0.09473581,1,0.4344,0.0323
91,WA,53,33,53033,2600,2,530330026002,1585,9906.3,0.16,1465,9156.3,1929.47206,0,2018,188.402138,0.11391435,529,0.15703944,0,0.4344,0.0323
92,WA,53,33,53033,2600,3,530330026003,1996,15353.8,0.13,1710,13153.8,1870.33369,0,2021,395.171539,0.08937526,424,0.1261892,1,0.4344,0.0323
93,WA,53,33,53033,2600,4,530330026004,1046,10460,0.1,1039,10390,1925.30654,0,2019,174.234253,0.0637984,375,0.10264135,1,0.4344,0.0323
94,WA,53,33,53033,2700,1,530330027001,1575,11250,0.14,1571,11221.4,1940.62935,0,2022,113.310411,0.09539962,532,0.1398527,0,0.3835,0.0418
95,WA,53,33,53033,2700,2,530330027002,1546,8136.8,0.19,1489,7836.8,1921.79398,0,2022,220.915072,0.09779193,549,0.19072793,0,0.3835,0.0418
96,WA,53,33,53033,2700,3,530330027003,1185,9875,0.12,1163,9691.7,1946.58415,0,2021,142.023805,0.08620779,383,0.12181855,0,0.3835,0.0418
97,WA,53,33,53033,2700,4,530330027004,1659,10368.8,0.16,1653,10331.3,1943.42649,0,2022,161.775315,0.10443246,513,0.1594931,0,0.3835,0.0418
98,WA,53,33,53033,2800,1,530330028001,1255,12550,0.1,1255,12550,1924.98485,0,2022,166.784823,0.06909825,462,0.10193981,2,0.4141,0.0494
99,WA,53,33,53033,2800,2,530330028002,1292,12920,0.1,1283,12830,1942.69858,0,2021,86.957657,0.06761224,446,0.10016679,2,0.4141,0.0494
100,WA,53,33,53033,2800,3,530330028003,1254,15675,0.08,1230,15375,1922.33886,0,2020,222.457217,0.05053696,335,0.07760278,0,0.4141,0.0494
101,WA,53,33,53033,2800,4,530330028004,1195,11950,0.1,1188,11880,1860.88911,0,2020,394.830763,0.07026438,426,0.10187781,3,0.4141,0.0494
102,WA,53,33,53033,2900,1,530330029001,1709,12207.1,0.14,1701,12150,1930.53652,0,2021,187.222276,0.09307085,534,0.13925213,2,0.4245,0.0399
103,WA,53,33,53033,2900,2,530330029002,1549,11915.4,0.13,1514,11646.2,1936.76763,0,2021,51.9060836,0.08732356,565,0.12763193,1,0.4245,0.0399
104,WA,53,33,53033,2900,3,530330029003,1496,13600,0.11,1475,13409.1,1926.75433,0,2020,143.13904,0.0795772,533,0.11386433,2,0.4245,0.0399
105,WA,53,33,53033,3000,1,530330030001,1768,11050,0.16,1750,10937.5,1906.35398,0,2021,253.785521,0.10740024,657,0.15861977,1,0.4271,0.045
106,WA,53,33,53033,3000,2,530330030002,1594,11385.7,0.14,1536,10971.4,1899.60749,0,2022,333.953965,0.09787428,507,0.1416595,1,0.4271,0.045
107,WA,53,33,53033,3000,3,530330030003,1815,12100,0.15,1776,11840,1931.58558,0,2021,172.853153,0.1054256,579,0.15090199,0,0.4271,0.045
