OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Type,Mixed Use Type
162,5436,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",14.45313717,0.00408573,7,162,0.00494732,5,Some Mixed Use
163,5437,LR2 (M), ,125791,4/19/19 00:00, , ,UR, , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , ,UR, , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1",32.07011237,0.0010624,16,163,0.00136438,2,Some Mixed Use
164,5438,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1",12.92988763,0.00042768,12,164,0.00070546,2,Some Mixed Use
170,4805,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",264.5500874,0.00687351,82,170,0.01108584,4,Some Mixed Use
175,8849,LR2 (M), ,127376,1/21/26 00:00, , , ,, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2 (M), ,2704,4/19/19 00:00, , , ,AL, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD127376,01/21/2026; LR2 (M),ORD2704,04/19/2019; LR2,ORD123495,04/19/2011; L-2",193.9967591,0.00435847,50,175,0.00631803,2,Some Mixed Use
182,4818,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",277.5395756,0.02217727,64,182,0.02844539,4,Some Mixed Use
184,4821,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",185.756173,0.00473326,50,184,0.00903483,4,Some Mixed Use
187,5440,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",4,0.00036098,2,187,0.00114907,1,Some Mixed Use
192,4824,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",54.17467659,0.00397886,4,192,0.00505842,1,Some Mixed Use
203,4836,LR2 (M),CF305400,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2,CF305400,124194,7/17/13 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,CF305400,04/19/2019; LR2,ORD124194,CF305400,07/17/2013; L-2,ORD121164,CF305400,07/04/2003; L-1",10.9878963,0.0024985,9,203,0.00315218,3,Some Mixed Use
204,4839,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",187.6471904,0.00435899,48,204,0.00677984,2,Some Mixed Use
208,4844,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",319.9937588,0.00723031,82,208,0.01219268,5,Some Mixed Use
211,4847,LR2 (M),CF305400,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2,CF305400,124194,7/17/13 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,CF305400,04/19/2019; LR2,ORD124194,CF305400,07/17/2013; L-2,ORD121164,CF305400,07/04/2003; L-1",334.3859366,0.00469513,60,211,0.0063951,5,Some Mixed Use
212,4848,LR2 (M),CF305400,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2,CF305400,124194,7/17/13 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,CF305400,04/19/2019; LR2,ORD124194,CF305400,07/17/2013; L-2,ORD121164,CF305400,07/04/2003; L-1",177.1559926,0.00399223,42,212,0.0048617,5,Some Mixed Use
214,4850,LR2 (M),CF305400,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2,CF305400,124194,7/17/13 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,CF305400,04/19/2019; LR2,ORD124194,CF305400,07/17/2013; L-2,ORD121164,CF305400,07/04/2003; L-1",64.22735171,0.00192163,21,214,0.00243221,5,Some Mixed Use
215,4851,LR2 (M),CF309502,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2,CF309502,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,CF309502,04/19/2019; LR2,ORD123495,CF309502,04/19/2011; L-2,ORD122942,CF309502,04/29/2009; SF 5000",1.14898268,0.00013293,3,215,0.00017421,3,Some Mixed Use
218,4857,LR2 (M),CF305400,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2,CF305400,124194,7/17/13 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,CF305400,04/19/2019; LR2,ORD124194,CF305400,07/17/2013; L-2,ORD121164,CF305400,07/04/2003; L-1",81.25047553,0.00621204,25,218,0.00924348,3,Some Mixed Use
219,4859,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2,ORD119661; L-2 RC",362.5457549,0.00685564,95,219,0.01135239,8,Some Mixed Use
221,4862,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",635.0231118,0.0162383,174,221,0.02458693,8,Some Mixed Use
233,8830,LR2 (M), ,127376,1/21/26 00:00, , ,UR,, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2 (M), ,2646,4/19/19 00:00, , ,UR,AL, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD127376,01/21/2026; LR2 (M),ORD2646,04/19/2019; LR2,ORD123495,04/19/2011; L-2",81.44033397,0.00243037,34,233,0.00381898,4,Some Mixed Use
234,8814,LR2 (M), ,127376,1/21/26 00:00, , , ,, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2 (M), ,2647,4/19/19 00:00, , , ,AL, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD127376,01/21/2026; LR2 (M),ORD2647,04/19/2019; LR2,ORD123495,04/19/2011; L-2",50.53428224,0.00167312,35,234,0.00167312,4,Some Mixed Use
240,4882,LR2 (M), ,125791,4/19/19 00:00, , , ,SS, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , ,SS, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",67.00045712,0.00228877,20,240,0.00327971,4,Some Mixed Use
243,4888,LR2 (M), ,125791,4/19/19 00:00, , , ,SS, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , ,SS, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1",173.7133715,0.00369625,52,243,0.00458687,3,Some Mixed Use
244,4889,LR2 (M), ,125791,4/19/19 00:00, , , ,SS, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , ,SS, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",46.12474335,0.00107143,15,244,0.00166197,3,Some Mixed Use
302,4897,LR2 (M), ,125791,4/19/19 00:00, , , ,SS, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , ,SS, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",80.61858954,0.00255116,27,302,0.00357451,3,Some Mixed Use
303,4898,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",121.4364967,0.02231653,30,303,0.04048229,6,Some Mixed Use
304,4899,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",241.9834233,0.00701525,76,304,0.01205021,5,Some Mixed Use
308,4904,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",45.97404416,0.0014858,21,308,0.00240193,2,Some Mixed Use
309,4905,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",17.38851134,0.00136248,2,309,0.0023453,1,Some Mixed Use
310,4907,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",3.99231968,0.00043173,1,310,0.00069857,1,Some Mixed Use
311,4908,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",238.4762678,0.00558795,74,311,0.00927598,4,Some Mixed Use
318,4915,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",513,0.01109887,128,318,0.01787629,4,Some Mixed Use
319,4916,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",45.1050997,0.0010973,17,319,0.00275839,2,Some Mixed Use
320,4917,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",31.57898421,0.00022608,2,320,0.00125459,2,Some Mixed Use
321,4918,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1",40.6894429,0.00319526,25,321,0.00433376,3,Some Mixed Use
327,4931,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",76.0000858,0.001612,23,327,0.00260284,3,Some Mixed Use
328,4932,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",24.27947813,0.00061334,7,328,0.00161384,3,Some Mixed Use
332,4936,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",141.9964197,0.00425871,31,332,0.00684289,4,Some Mixed Use
333,4937,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",914.9776092,0.01808309,226,333,0.02950528,9,Some Mixed Use
335,4939,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",47.77022528,0.00129574,19,335,0.00211459,4,Some Mixed Use
339,4944,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2,ORD121474,06/24/2004; L-1",209.9757173,0.0044446,21,339,0.00584056,3,Some Mixed Use
343,4948,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2",59.99985259,0.00242247,17,343,0.00337913,4,Some Mixed Use
344,4949,LR2 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/11 00:00, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1",104.6271581,0.00460069,40,344,0.0062957,3,Some Mixed Use
