OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Type,Mixed Use Type
1626,3940,C1-40, , ,, , , , , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,,,,5/1/94 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40; C1-40,05/01/1994",14.28185543,0.01078388,8,1626,0.01981154,6,Some Mixed Use
1696,4039,C1-40, , ,, , ,CM, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,,,,5/1/94 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40; C1-40,05/01/1994",39.35898934,0.01145795,7,1696,0.01148646,5,Some Mixed Use
1697,4040,C1-40, , ,, , ,CN, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,,,,5/1/94 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40; C1-40,05/01/1994",27.35706795,0.03090863,14,1697,0.03090645,8,Some Mixed Use
1733,3971,C1-40, , ,, , , , , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,,,,5/1/94 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40; C1-40,05/01/1994",0.00037718,0.00000005,1,1733,0.00044757,1,Some Mixed Use
1753,788,C1-40, ,117919,12/29/95 00:00, , , , , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-40,,117434,4/3/95 00:00,,,,,,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40,ORD117919,12/29/1995; C1-40,ORD117434,04/03/1995; C1-40",0,0,0,1753,0.00007965,0,Some Mixed Use
2099,3503,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-40, ,117919,12/29/95 00:00, , ,US, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40,ORD124750,06/15/2015; C1-40,ORD117919,12/29/1995; C1-40",8.99998609,0.00505273,3,2099,0.00699625,3,Some Mixed Use
2781,3441,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,N,N,,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-40, ,,, , ,US, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40,ORD124750,06/15/2015; C1-40",14.91290541,0.0025434,4,2781,0.00374648,4,Some Mixed Use
727,5499,C1-40 (M), ,125791,4/19/19 00:00, , ,UC, , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30, ,124750,6/15/15 00:00, , ,UC, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,04/19/2019; C1-30,ORD124750,06/15/2015; C1-30",0.97722874,0.00005743,1,727,0.00022816,1,Some Mixed Use
1597,4312,C1-40 (M),CF296889,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30,CF296889,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,CF296889,04/19/2019; C1-30,CF296889",95.00604941,0.00585337,35,1597,0.00752332,6,Some Mixed Use
2769,4745,C1-40 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,04/19/2019; C1-30",24.00139523,0.00034449,3,2769,0.000626,2,Some Mixed Use
