OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Points,Percent Neutral Ground
39,WA,53,33,53033,900,2,530330009002,933,4910.5,0.19,929,4889.5,615.3242462,0.1550221,418,39,0.18621683,1,16.83002607
40,WA,53,33,53033,1000,1,530330010001,977,6978.6,0.14,975,6964.3,630,0.11276224,285,40,0.14333388,2,3.12259828
41,WA,53,33,53033,1000,2,530330010002,1039,4517.4,0.23,1037,4508.7,824,0.18848947,389,41,0.22508005,1,18.77650349
42,WA,53,33,53033,1100,1,530330011001,1410,7050,0.2,1400,7000,906,0.14865134,464,42,0.19807011,0,2.53264473
43,WA,53,33,53033,1100,2,530330011002,1323,6300,0.21,1311,6242.9,978,0.1659885,477,43,0.21146502,0,13.89470491
44,WA,53,33,53033,1201,1,530330012011,1473,14730,0.1,1460,14600,533,0.07900009,141,44,0.09502891,1,27.13599286
45,WA,53,33,53033,1201,2,530330012012,1401,15566.7,0.09,1394,15488.9,595,0.05555171,168,45,0.0941119,0,3.695286
46,WA,53,33,53033,1201,3,530330012013,971,4855,0.2,927,4635,237.0655456,0.13268755,44,46,0.20014348,0,32.07585223
47,WA,53,33,53033,1202,1,530330012021,1215,7593.8,0.16,1131,7068.8,774,0.11715627,420,47,0.15893537,1,6.57715937
48,WA,53,33,53033,1202,2,530330012022,1149,12766.7,0.09,1142,12688.9,439,0.07686035,247,48,0.09496317,1,9.31223052
49,WA,53,33,53033,1202,3,530330012023,1611,26850,0.06,1607,26783.3,393,0.0524711,97,49,0.06325441,2,28.21252545
50,WA,53,33,53033,1300,1,530330013001,1853,9752.6,0.19,1824,9600,1120.824422,0.13990582,505,50,0.19402838,2,12.50095113
51,WA,53,33,53033,1300,2,530330013002,1540,17111.1,0.09,1549,17211.1,1108,0.06176358,398,51,0.09452056,0,8.90942011
52,WA,53,33,53033,1300,3,530330013003,1721,10123.5,0.17,1712,10070.6,1604,0.12028273,453,52,0.16737506,1,8.14596909
53,WA,53,33,53033,1400,1,530330014001,1157,9641.7,0.12,1151,9591.7,617,0.08757122,357,53,0.12467964,0,1.6388543
54,WA,53,33,53033,1400,2,530330014002,1408,7040,0.2,1363,6815,981.2397852,0.14799224,436,54,0.19869067,1,19.32030279
55,WA,53,33,53033,1400,3,530330014003,1292,8613.3,0.15,1256,8373.3,1131.656987,0.11221082,430,55,0.14625104,0,14.1167057
56,WA,53,33,53033,1400,4,530330014004,1542,4283.3,0.36,1528,4244.4,758.0846923,0.30713991,586,56,0.36136016,1,34.31533187
57,WA,53,33,53033,1500,1,530330015001,1300,6500,0.2,1290,6450,955,0.15188437,527,57,0.2016716,1,6.88851395
58,WA,53,33,53033,1500,2,530330015002,1416,5664,0.25,1389,5556,1416.502837,0.19210226,589,58,0.24878925,0,0.95508638
59,WA,53,33,53033,1600,1,530330016001,1465,3959.5,0.37,1461,3948.6,1368.920235,0.30670865,635,59,0.37348467,0,1.0645618
60,WA,53,33,53033,1600,2,530330016002,1449,5573.1,0.26,1445,5557.7,661.6821813,0.19452742,574,60,0.25540875,0,6.43259411
61,WA,53,33,53033,1600,3,530330016003,1743,12450,0.14,1598,11414.3,2457,0.10269631,646,61,0.14444297,1,11.04990406
62,WA,53,33,53033,1701,1,530330017011,1934,14876.9,0.13,1748,13446.2,871,0.08969211,302,62,0.12500593,1,25.39664824
63,WA,53,33,53033,1701,2,530330017012,1347,11225,0.12,1340,11166.7,806.961615,0.08401072,350,63,0.11770609,1,5.78666095
64,WA,53,33,53033,1701,3,530330017013,1163,11630,0.1,1164,11640,751.038385,0.06483136,368,64,0.10198693,0,3.89374762
65,WA,53,33,53033,1702,1,530330017021,1367,15188.9,0.09,1337,14855.6,768,0.05993112,293,65,0.08581186,0,8.28494109
66,WA,53,33,53033,1702,2,530330017022,1140,8769.2,0.13,1132,8707.7,879,0.09243121,461,66,0.12544127,0,14.70238835
67,WA,53,33,53033,1702,3,530330017023,1295,11772.7,0.11,1294,11763.6,769,0.0815613,383,67,0.11364675,0,1.8915152
68,WA,53,33,53033,1702,4,530330017024,1576,9270.6,0.17,1564,9200,911,0.11845211,495,68,0.16940908,1,6.25156692
69,WA,53,33,53033,1800,1,530330018001,1728,10800,0.16,1709,10681.3,1286.175578,0.12179093,559,69,0.16406338,0,0.92313323
70,WA,53,33,53033,1800,2,530330018002,1802,20022.2,0.09,1690,18777.8,2262,0.06466564,636,70,0.09424446,0,8.07581016
71,WA,53,33,53033,1800,3,530330018003,1757,15972.7,0.11,1710,15545.5,2008,0.0757682,604,71,0.10698303,0,3.26319164
72,WA,53,33,53033,1900,1,530330019001,1619,10118.8,0.16,1610,10062.5,1087,0.12956316,580,72,0.16001114,0,4.9005298
73,WA,53,33,53033,1900,2,530330019002,1429,7521.1,0.19,1416,7452.6,665,0.11599932,532,73,0.18800991,0,0.33403373
74,WA,53,33,53033,1900,3,530330019003,1164,38800,0.03,719,23966.7,91.91081077,0.03972719,10,74,0.03135505,0,68.30801434
75,WA,53,33,53033,1900,4,530330019004,1220,4692.3,0.26,1214,4669.2,617.0236436,0.19962733,251,75,0.26437379,0,1.07177745
76,WA,53,33,53033,2000,1,530330020001,1394,10723.1,0.13,1376,10584.6,578,0.09757387,397,76,0.12801713,0,3.23645655
77,WA,53,33,53033,2000,2,530330020002,1228,8186.7,0.15,1184,7893.3,686,0.10920627,444,77,0.149787,0,5.63571052
78,WA,53,33,53033,2000,3,530330020003,1194,7462.5,0.16,1163,7268.8,809,0.1345386,420,78,0.15924771,1,27.50923836
79,WA,53,33,53033,2100,1,530330021001,1428,7515.8,0.19,1425,7500,677,0.14297851,531,79,0.19441481,0,1.37871182
80,WA,53,33,53033,2100,2,530330021002,1376,7242.1,0.19,1365,7184.2,743.8641224,0.13794449,429,80,0.1864167,0,3.4045444
81,WA,53,33,53033,2100,3,530330021003,1711,11406.7,0.15,1633,10886.7,1514.135878,0.10656701,529,81,0.14637598,3,3.02239539
82,WA,53,33,53033,2200,1,530330022001,1575,6562.5,0.24,1572,6550,767,0.17421463,602,82,0.2378807,0,0.62504454
83,WA,53,33,53033,2200,2,530330022002,1506,6845.5,0.22,1503,6831.8,964,0.17067836,574,83,0.21923105,2,5.1380043
84,WA,53,33,53033,2200,3,530330022003,1603,6412,0.25,1597,6388,1092.968156,0.19095372,566,84,0.24555542,1,10.29834173
85,WA,53,33,53033,2200,4,530330022004,1333,3507.9,0.38,1276,3357.9,768.3976343,0.32620758,459,85,0.37997924,1,46.7076733
86,WA,53,33,53033,2400,1,530330024001,1536,7314.3,0.21,1509,7185.7,779.1198629,0.15990523,612,86,0.21499627,0,1.84353484
87,WA,53,33,53033,2400,2,530330024002,1729,10806.3,0.16,1708,10675,684,0.11071012,499,87,0.15664517,0,1.38021843
88,WA,53,33,53033,2500,1,530330025001,1610,6708.3,0.24,1589,6620.8,953,0.17559601,647,88,0.24015551,0,14.03473864
89,WA,53,33,53033,2500,2,530330025002,1617,11550,0.14,1566,11185.7,1277,0.10010138,521,89,0.13990267,2,8.51599392
90,WA,53,33,53033,2600,1,530330026001,1150,12777.8,0.09,1141,12677.8,731,0.06027461,405,90,0.09473581,1,4.69969247
91,WA,53,33,53033,2600,2,530330026002,1585,9906.3,0.16,1465,9156.3,785,0.11385755,545,91,0.15703944,0,20.39432458
92,WA,53,33,53033,2600,3,530330026003,1996,15353.8,0.13,1710,13153.8,1494,0.08937259,457,92,0.1261892,1,5.19398218
93,WA,53,33,53033,2600,4,530330026004,1046,10460,0.1,1039,10390,711,0.06382186,407,93,0.10264135,1,3.17334741
94,WA,53,33,53033,2700,1,530330027001,1575,11250,0.14,1571,11221.4,726,0.09544798,539,94,0.1398527,0,5.19683916
95,WA,53,33,53033,2700,2,530330027002,1546,8136.8,0.19,1489,7836.8,747,0.09780094,553,95,0.19072793,0,1.02657937
96,WA,53,33,53033,2700,3,530330027003,1185,9875,0.12,1163,9691.7,632,0.08621539,402,96,0.12181855,0,0.76615275
97,WA,53,33,53033,2700,4,530330027004,1659,10368.8,0.16,1653,10331.3,1301,0.10457894,600,97,0.1594931,0,9.86946389
98,WA,53,33,53033,2800,1,530330028001,1255,12550,0.1,1255,12550,721,0.06908028,469,98,0.10193981,2,4.63776546
99,WA,53,33,53033,2800,2,530330028002,1292,12920,0.1,1283,12830,752,0.06759706,467,99,0.10016679,2,4.74988642
100,WA,53,33,53033,2800,3,530330028003,1254,15675,0.08,1230,15375,646,0.05053498,360,100,0.07760278,0,4.94660797
101,WA,53,33,53033,2800,4,530330028004,1195,11950,0.1,1188,11880,854,0.07026933,447,101,0.10187781,3,6.47857642
102,WA,53,33,53033,2900,1,530330029001,1709,12207.1,0.14,1701,12150,1232,0.09319764,560,102,0.13925213,2,8.71503272
103,WA,53,33,53033,2900,2,530330029002,1549,11915.4,0.13,1514,11646.2,809,0.08728104,573,103,0.12763193,1,3.26179472
104,WA,53,33,53033,2900,3,530330029003,1496,13600,0.11,1475,13409.1,867,0.07936748,561,104,0.11386433,2,0.73088553
105,WA,53,33,53033,3000,1,530330030001,1768,11050,0.16,1750,10937.5,865,0.10733658,678,105,0.15861977,1,1.12566624
106,WA,53,33,53033,3000,2,530330030002,1594,11385.7,0.14,1536,10971.4,2128,0.09788747,806,106,0.1416595,1,7.29572542
107,WA,53,33,53033,3000,3,530330030003,1815,12100,0.15,1776,11840,1246,0.10544304,663,107,0.15090199,0,3.90180106
108,WA,53,33,53033,3000,4,530330030004,1444,11107.7,0.13,1431,11007.7,905,0.08413116,563,108,0.12539729,1,2.04020799
109,WA,53,33,53033,3100,1,530330031001,1246,10383.3,0.12,1216,10133.3,686,0.08032472,481,109,0.11807073,1,3.76094823
110,WA,53,33,53033,3100,2,530330031002,1182,9850,0.12,1181,9841.7,647,0.08101043,493,110,0.11985581,0,0.24458646
111,WA,53,33,53033,3100,3,530330031003,1285,11681.8,0.11,1277,11609.1,665,0.08082714,447,111,0.11413731,1,9.47265779
